sim_stamp_s,wall_monotonic_s,linear_x_mps,linear_y_mps,angular_z_rps
1787851423.966726065,41954.256321312,0.031721860,0.000000000,0.006460180
1787851424.066120863,41954.355727919,0.066774018,0.000000000,0.015324196
1787851424.166595936,41954.456203997,0.102405444,0.000000000,0.018954042
1787851424.266478062,41954.556105770,0.131245390,0.000000000,0.015481198
1787851424.366332054,41954.655945523,0.153428733,0.000000000,0.005594395
1787851424.466260672,41954.755867227,0.169754013,0.000000000,-0.005712850
1787851424.566295385,41954.855905910,0.181790709,0.000000000,-0.015164624
1787851424.666366577,41954.955954138,0.187587038,0.000000000,-0.020157209
1787851424.766230822,41955.055837842,0.196356446,0.000000000,-0.027955666
1787851424.866368294,41955.155978741,0.203233838,0.000000000,-0.033652809
1787851424.966260672,41955.255865853,0.208623752,0.000000000,-0.038376641
1787851425.066250563,41955.355853901,0.207874820,0.000000000,-0.043026872
1787851425.166175842,41955.455767463,0.211697951,0.000000000,-0.047623612
1787851425.266048193,41955.555622528,0.215101287,0.000000000,-0.051394150
1787851425.366343021,41955.655946107,0.213434830,0.000000000,-0.057840720
1787851425.466234207,41955.755826389,0.211594701,0.000000000,-0.067366883
1787851425.566345692,41955.855935696,0.210422397,0.000000000,-0.080785625
1787851425.666298866,41955.955907367,0.215433702,0.000000000,-0.091567844
1787851425.766317844,41956.055909631,0.219977051,0.000000000,-0.100325614
1787851425.866240501,41956.155860559,0.223116562,0.000000000,-0.105747089
1787851425.966183662,41956.255788248,0.219233006,0.000000000,-0.112691544
1787851426.066330194,41956.355922623,0.215971336,0.000000000,-0.121377014
1787851426.166182518,41956.455771803,0.213889375,0.000000000,-0.133369535
1787851426.266313553,41956.555902506,0.213896945,0.000000000,-0.147026360
1787851426.366300583,41956.655912115,0.214345008,0.000000000,-0.162042513
1787851426.466200829,41956.755802696,0.214738056,0.000000000,-0.177224815
1787851426.566274643,41956.855865521,0.215599567,0.000000000,-0.190743327
1787851426.666399717,41956.956050983,0.216342315,0.000000000,-0.203350410
1787851426.766396999,41957.055987200,0.217863336,0.000000000,-0.213751003
1787851426.866155863,41957.155736105,0.219481885,0.000000000,-0.223294452
1787851426.966307402,41957.255913664,0.222236782,0.000000000,-0.230460420
1787851427.066051245,41957.355632885,0.225082666,0.000000000,-0.237267643
1787851427.166024446,41957.455592605,0.228721946,0.000000000,-0.241765335
1787851427.266034365,41957.555604744,0.232245877,0.000000000,-0.246423006
1787851427.366311312,41957.655885320,0.237244308,0.000000000,-0.246510163
