sim_stamp_s,wall_monotonic_s,linear_x_mps,linear_y_mps,angular_z_rps
1787852112.667745113,42642.957329681,-0.012082752,0.000000000,-0.008768932
1787852112.767516851,42643.057097200,-0.022386055,0.000000000,-0.026509609
1787852112.867431164,42643.157016293,-0.032927509,0.000000000,-0.045550186
1787852112.967549086,42643.257128096,-0.041948482,0.000000000,-0.065850616
1787852113.067431927,42643.357026996,-0.049411036,0.000000000,-0.086984649
1787852113.167443275,42643.457037128,-0.055453967,0.000000000,-0.107919805
1787852113.268065691,42643.557669776,-0.060113613,0.000000000,-0.127425790
1787852113.367425680,42643.657018946,-0.064023562,0.000000000,-0.145204917
1787852113.467295885,42643.756885404,-0.067382731,0.000000000,-0.161012471
1787852113.567508698,42643.857093944,-0.070406966,0.000000000,-0.174776748
1787852113.667394876,42643.956968727,-0.072807714,0.000000000,-0.185982063
1787852113.767461538,42644.057055072,-0.075070396,0.000000000,-0.194913819
1787852113.867594481,42644.157192534,-0.077210546,0.000000000,-0.201955616
1787852113.967675209,42644.257261112,-0.079435594,0.000000000,-0.207496956
1787852114.067759991,42644.357357281,-0.081580840,0.000000000,-0.212114841
1787852114.167593241,42644.457173834,-0.083715312,0.000000000,-0.216182262
1787852114.267430305,42644.557012630,-0.085662469,0.000000000,-0.220197946
1787852114.367403507,42644.656997431,-0.086736098,0.000000000,-0.224170923
1787852114.467454910,42644.757035076,-0.087547705,0.000000000,-0.228522509
1787852114.567656755,42644.857247216,-0.088125996,0.000000000,-0.233341858
1787852114.667549372,42644.957148023,-0.088692740,0.000000000,-0.238435507
1787852114.767676592,42645.057265692,-0.089175381,0.000000000,-0.243683353
1787852114.867573738,42645.157162638,-0.089588583,0.000000000,-0.248882130
1787852114.967380047,42645.256964688,-0.089979500,0.000000000,-0.253693730
1787852115.067561865,42645.357147349,-0.091351680,0.000000000,-0.258095384
1787852115.167538166,42645.457122221,-0.092660837,0.000000000,-0.261923850
1787852115.267616272,42645.557197510,-0.093916014,0.000000000,-0.265041202
1787852115.367531061,42645.657110577,-0.094874062,0.000000000,-0.267587274
1787852115.467562675,42645.757161406,-0.095564686,0.000000000,-0.269699216
1787852115.567591429,42645.857168715,-0.096047282,0.000000000,-0.271340430
1787852115.667603493,42645.957180916,-0.096309707,0.000000000,-0.272718638
1787852115.767394066,42646.056982253,-0.096389994,0.000000000,-0.273860961
1787852115.867393017,42646.156969105,-0.096287996,0.000000000,-0.275031924
1787852115.967458248,42646.257036132,-0.096014723,0.000000000,-0.276284993
1787852116.067503452,42646.357079872,-0.095579840,0.000000000,-0.277831197
1787852116.167576075,42646.457167559,-0.094995297,0.000000000,-0.279742122
1787852116.267549515,42646.557141241,-0.094263382,0.000000000,-0.281915784
1787852116.367534637,42646.657120769,-0.095508061,0.000000000,-0.284168005
1787852116.467682123,42646.757280879,-0.096577637,0.000000000,-0.286729455
1787852116.567627668,42646.857225377,-0.097411893,0.000000000,-0.289819956
1787852116.667437553,42646.957032280,-0.097685046,0.000000000,-0.293567985
1787852116.767519712,42647.057112820,-0.097422838,0.000000000,-0.297895968
1787852116.867531061,42647.157106766,-0.096750900,0.000000000,-0.302898765
1787852116.967770338,42647.257358507,-0.095608577,0.000000000,-0.308514595
1787852117.067478895,42647.357056376,-0.096952453,0.000000000,-0.314249516
1787852117.167495012,42647.457072586,-0.097909451,0.000000000,-0.320767730
1787852117.267520666,42647.557110062,-0.098465472,0.000000000,-0.328136444
1787852117.367521763,42647.657112726,-0.098055109,0.000000000,-0.336319596
1787852117.467527628,42647.757118775,-0.097132817,0.000000000,-0.345238298
1787852117.567571640,42647.857172981,-0.095525265,0.000000000,-0.354788989
1787852117.667906523,42647.957486745,-0.093719341,0.000000000,-0.364902258
1787852117.767394066,42648.056985435,-0.091732584,0.000000000,-0.375541270
1787852117.867548943,42648.157135780,-0.089312434,0.000000000,-0.386635572
1787852117.967412233,42648.257004806,-0.086933307,0.000000000,-0.398250282
1787852118.067626238,42648.357228858,-0.084573098,0.000000000,-0.410423607
1787852118.167669058,42648.457248261,-0.081840895,0.000000000,-0.423215717
1787852118.267554760,42648.557137652,-0.076785557,0.000000000,-0.436747074
1787852118.367770195,42648.657364696,-0.071584478,0.000000000,-0.450564712
1787852118.467600346,42648.757182148,-0.067467324,0.000000000,-0.464607626
1787852118.567580700,42648.857167163,-0.061232328,0.000000000,-0.478911042
1787852118.667676449,42648.957254160,-0.055633347,0.000000000,-0.493243665
1787852118.767754793,42649.057341956,-0.050236590,0.000000000,-0.507733405
1787852118.867505550,42649.157102103,-0.043275174,0.000000000,-0.522334278
1787852118.967545271,42649.257145634,-0.036655560,0.000000000,-0.537154794
1787852119.067627668,42649.357227467,-0.028702820,0.000000000,-0.551848292
1787852119.167531490,42649.457123851,-0.021697387,0.000000000,-0.566489279
1787852119.267680168,42649.557262623,-0.012905268,0.000000000,-0.580537379
1787852119.367584229,42649.657162804,-0.005064671,0.000000000,-0.594551146
1787852119.467655659,42649.757254733,0.003624396,0.000000000,-0.608058333
1787852119.567518950,42649.857121134,0.030049769,0.000000000,-0.597094595
1787852119.667541265,42649.957118965,0.054201115,0.000000000,-0.580791593
1787852119.767523527,42650.057126764,0.075055309,0.000000000,-0.562465549
1787852119.867578030,42650.157154101,0.091385111,0.000000000,-0.545167148
1787852119.967543840,42650.257141478,0.104120418,0.000000000,-0.529675186
1787852120.067651033,42650.357235987,0.115573466,0.000000000,-0.514835835
1787852120.167842865,42650.457424427,0.125483915,0.000000000,-0.501177907
1787852120.267480850,42650.557075740,0.134154975,0.000000000,-0.488472998
1787852120.367417336,42650.656987794,0.142599687,0.000000000,-0.475865692
1787852120.467468023,42650.757042773,0.149791941,0.000000000,-0.464325786
1787852120.567622900,42650.857215028,0.156641096,0.000000000,-0.453129947
1787852120.667565584,42650.957154910,0.156225726,0.000000000,-0.445138812
1787852120.768018723,42651.057604130,0.153331503,0.000000000,-0.434863925
1787852120.867440701,42651.157016285,0.149936765,0.000000000,-0.419052899
1787852120.967611790,42651.257191770,0.143791169,0.000000000,-0.398602664
1787852121.067541838,42651.357130226,0.140528083,0.000000000,-0.375762641
1787852121.167501211,42651.457077827,0.137557983,0.000000000,-0.348422736
1787852121.267613649,42651.557200685,0.136004269,0.000000000,-0.320020944
1787852121.367549419,42651.657124956,0.133964196,0.000000000,-0.297276139
1787852121.467541933,42651.757125793,0.132342130,0.000000000,-0.278897852
1787852121.567613840,42651.857207450,0.129770696,0.000000000,-0.263830513
1787852121.667572021,42651.957170022,0.127902254,0.000000000,-0.250680476
1787852121.767620802,42652.057215938,0.126100764,0.000000000,-0.236041844
1787852121.867597818,42652.157197135,0.123993717,0.000000000,-0.221164793
1787852121.967478752,42652.257054133,0.118163139,0.000000000,-0.208953694
1787852122.067729712,42652.357305799,0.122459725,0.000000000,-0.181594372
1787852122.167567968,42652.457145694,0.126747042,0.000000000,-0.156674400
1787852122.267574310,42652.557152494,0.129775867,0.000000000,-0.128508180
1787852122.367654562,42652.657231096,0.131469518,0.000000000,-0.095277481
1787852122.467555761,42652.757152179,0.132375047,0.000000000,-0.063132584
1787852122.567619085,42652.857200959,0.132748574,0.000000000,-0.035584383
1787852122.667587996,42652.957168833,0.133087188,0.000000000,-0.013340365
1787852122.767771959,42653.057352741,0.132343888,0.000000000,0.005610582
1787852122.867699146,42653.157283507,0.131512523,0.000000000,0.022415712
1787852122.967658281,42653.257248131,0.129720137,0.000000000,0.037888870
1787852123.067574501,42653.357162516,0.127589017,0.000000000,0.051278632
1787852123.167577505,42653.457170253,0.125348449,0.000000000,0.064396307
1787852123.267558575,42653.557150519,0.122908920,0.000000000,0.075502746
1787852123.367584944,42653.657169562,0.120221958,0.000000000,0.085384548
1787852123.467586756,42653.757182374,0.117468633,0.000000000,0.093799219
1787852123.567703724,42653.857297651,0.115021013,0.000000000,0.102006406
1787852123.667434692,42653.957047784,0.112128690,0.000000000,0.108193003
1787852123.767658710,42654.057239446,0.109714791,0.000000000,0.113413632
1787852123.867734671,42654.157327185,0.106905028,0.000000000,0.117684528
1787852123.967571735,42654.257158644,0.104294911,0.000000000,0.119043268
1787852124.067836523,42654.357426227,0.101596005,0.000000000,0.119822219
1787852124.167626858,42654.457229448,0.097976252,0.000000000,0.121341713
1787852124.267770052,42654.557357591,0.094872884,0.000000000,0.121340796
1787852124.367771149,42654.657350318,0.091589913,0.000000000,0.120273665
1787852124.467644453,42654.757230905,0.087537490,0.000000000,0.119814031
1787852124.567597389,42654.857183052,0.084296539,0.000000000,0.119372144
1787852124.667592287,42654.957173745,0.080854744,0.000000000,0.119175956
1787852124.767580748,42655.057175699,0.078346416,0.000000000,0.119614340
1787852124.867860794,42655.157459698,0.075508736,0.000000000,0.120281056
1787852124.967545748,42655.257125883,0.073322974,0.000000000,0.120260432
1787852125.067875385,42655.357479814,0.070712827,0.000000000,0.120768808
1787852125.167694569,42655.457276920,0.068819761,0.000000000,0.121372461
1787852125.267686605,42655.557268316,0.066644944,0.000000000,0.122166663
1787852125.367763281,42655.657351689,0.064240128,0.000000000,0.124150537
1787852125.467620850,42655.757216647,0.061883844,0.000000000,0.125051096
1787852125.567627430,42655.857214964,0.059447128,0.000000000,0.126932830
1787852125.667502642,42655.957076622,0.057805542,0.000000000,0.128690347
1787852125.767594099,42656.057183687,0.055787474,0.000000000,0.130078584
1787852125.867686987,42656.157277055,0.053318396,0.000000000,0.132846594
1787852125.967475176,42656.257061977,0.051541802,0.000000000,0.134725317
1787852126.067501783,42656.357086093,0.049486835,0.000000000,0.138400957
1787852126.167544365,42656.457130945,0.047849417,0.000000000,0.141959399
1787852126.267996788,42656.557595524,0.046331022,0.000000000,0.144135118
1787852126.367825747,42656.657408405,0.044904459,0.000000000,0.146887153
1787852126.467629194,42656.757220469,0.043191165,0.000000000,0.150026679
1787852126.567710400,42656.857289770,0.041928768,0.000000000,0.153320998
1787852126.667653799,42656.957237586,0.040566392,0.000000000,0.156585887
1787852126.767660141,42657.057257168,0.039447557,0.000000000,0.159408838
1787852126.867528677,42657.157106449,0.038273603,0.000000000,0.162204817
1787852126.967624426,42657.257201497,0.037044562,0.000000000,0.164436236
1787852127.067844629,42657.357442531,0.035833865,0.000000000,0.166343853
1787852127.167706966,42657.457287604,0.034661002,0.000000000,0.167790323
1787852127.267709732,42657.557282167,0.034108095,0.000000000,0.170442075
1787852127.367799282,42657.657389858,0.033061277,0.000000000,0.173490942
1787852127.468142986,42657.757739920,0.032822840,0.000000000,0.176022083
1787852127.567662001,42657.857239300,0.031611748,0.000000000,0.179344073
1787852127.667663813,42657.957257608,0.030706687,0.000000000,0.182797223
1787852127.767568588,42658.057145688,0.026982658,0.000000000,0.181152374
1787852127.867616177,42658.157212556,0.024829891,0.000000000,0.184146121
1787852127.967791080,42658.257373739,0.022757163,0.000000000,0.184344932
1787852128.067751169,42658.357347974,0.021260008,0.000000000,0.187218651
1787852128.167681217,42658.457258702,0.020134971,0.000000000,0.190053895
1787852128.267700195,42658.557280385,0.018830737,0.000000000,0.193121701
1787852128.367871284,42658.657453454,0.018950215,0.000000000,0.196750522
1787852128.467815876,42658.757404105,0.018873801,0.000000000,0.201575771
1787852128.567834854,42658.857423272,0.018899905,0.000000000,0.206687674
1787852128.667614222,42658.957203004,0.019069608,0.000000000,0.210621953
1787852128.767520666,42659.057100728,0.019256001,0.000000000,0.214769617
1787852128.867675066,42659.157248208,0.018929675,0.000000000,0.217293337
1787852128.968040705,42659.257626958,0.019270210,0.000000000,0.220948085
1787852129.067989111,42659.357583754,0.019214271,0.000000000,0.224205509
1787852129.167743921,42659.457326592,0.019880105,0.000000000,0.228120163
1787852129.267873764,42659.557454079,0.019358335,0.000000000,0.233214244
1787852129.367672682,42659.657250606,0.019535048,0.000000000,0.239040047
1787852129.467812777,42659.757413446,0.019401137,0.000000000,0.239056095
1787852129.567702055,42659.857299291,0.020253925,0.000000000,0.241339251
1787852129.667844772,42659.957449943,0.020308059,0.000000000,0.247228429
1787852129.767666578,42660.057248131,0.023575749,0.000000000,0.257665753
1787852129.867595434,42660.157175412,0.026390333,0.000000000,0.269288093
1787852129.967727900,42660.257329752,0.031668678,0.000000000,0.282104820
1787852130.067669868,42660.357267663,0.044060975,0.000000000,0.289288312
1787852130.167665005,42660.457262647,0.060161937,0.000000000,0.296256244
1787852130.267780066,42660.557397465,0.072317854,0.000000000,0.300863057
1787852130.367750168,42660.657356379,0.080388218,0.000000000,0.309441835
1787852130.467840672,42660.757424643,0.086777531,0.000000000,0.314737588
1787852130.567919254,42660.857483130,0.097713791,0.000000000,0.312958688
1787852130.667851210,42660.957434735,0.111375920,0.000000000,0.304877788
1787852130.767715931,42661.057314388,0.125517160,0.000000000,0.288005084
1787852130.867598295,42661.157174805,0.136873364,0.000000000,0.271044612
1787852130.967626333,42661.257217510,0.145871565,0.000000000,0.252799094
1787852131.067905426,42661.357482466,0.153248399,0.000000000,0.232531503
1787852131.168028593,42661.457609239,0.159106493,0.000000000,0.215575486
1787852131.267643213,42661.557222939,0.163335428,0.000000000,0.196087554
1787852131.367778063,42661.657371171,0.167239100,0.000000000,0.177439466
1787852131.467706203,42661.757299132,0.169562817,0.000000000,0.156224787
1787852131.567766190,42661.857362036,0.171288446,0.000000000,0.133731976
1787852131.667680264,42661.957260968,0.172701687,0.000000000,0.109504856
1787852131.767772436,42662.057368484,0.174267083,0.000000000,0.085923918
1787852131.867785692,42662.157368276,0.175468534,0.000000000,0.064734444
1787852131.967737436,42662.257315977,0.176199839,0.000000000,0.041785754
1787852132.067885399,42662.357473547,0.176288679,0.000000000,0.019785983
1787852132.167617559,42662.457193691,0.176482186,0.000000000,-0.000599041
1787852132.267922878,42662.557522217,0.175852671,0.000000000,-0.019776028
1787852132.367655754,42662.657263635,0.175093174,0.000000000,-0.036200419
1787852132.467783213,42662.757364461,0.173800722,0.000000000,-0.051151998
1787852132.567933083,42662.857514856,0.172437370,0.000000000,-0.062772021
1787852132.667834520,42662.957419025,0.171247497,0.000000000,-0.071346350
1787852132.767923117,42663.057522071,0.170193315,0.000000000,-0.076901473
1787852132.867750883,42663.157332752,0.167568028,0.000000000,-0.084492758
1787852132.967725992,42663.257321947,0.167613983,0.000000000,-0.088865481
1787852133.067959785,42663.357557070,0.168287680,0.000000000,-0.092907488
1787852133.167605400,42663.457196665,0.168819651,0.000000000,-0.095989786
1787852133.267741203,42663.557332767,0.165495887,0.000000000,-0.103436820
1787852133.367852449,42663.657439494,0.161829188,0.000000000,-0.112797782
1787852133.467851877,42663.757449209,0.158730119,0.000000000,-0.124290779
1787852133.569277287,42663.858854228,0.156518638,0.000000000,-0.136938244
1787852133.668082714,42663.957669225,0.154600725,0.000000000,-0.150279298
1787852133.767739296,42664.057333346,0.152790651,0.000000000,-0.163489476
1787852133.867769241,42664.157366150,0.151072040,0.000000000,-0.176184252
1787852133.967899323,42664.257506718,0.149734274,0.000000000,-0.187940821
1787852134.068156004,42664.357756090,0.148705125,0.000000000,-0.199006706
1787852134.167851686,42664.457451790,0.147987485,0.000000000,-0.209403872
