sim_stamp_s,wall_monotonic_s,linear_x_mps,linear_y_mps,angular_z_rps
1787847660.811715364,38191.101303294,0.045000000,0.000000000,0.012367976
1787847660.861514091,38191.151107762,0.090000000,0.000000000,0.019440264
1787847660.911365032,38191.200949532,0.135000000,0.000000000,0.024678316
1787847660.961348534,38191.250941237,0.167838767,0.000000000,0.023504421
1787847661.011702776,38191.301286062,0.191427395,0.000000000,0.019555449
1787847661.061496496,38191.351077877,0.207464397,0.000000000,0.013756971
1787847661.111354828,38191.400939900,0.218815103,0.000000000,0.006594686
1787847661.161465168,38191.451051477,0.227181062,0.000000000,-0.002855352
1787847661.211462259,38191.501052148,0.233516321,0.000000000,-0.014929572
1787847661.261347532,38191.550927218,0.238231108,0.000000000,-0.029094696
1787847661.311605215,38191.601212650,0.238231108,0.000000000,-0.029094696
1787847661.361601591,38191.651177579,0.244112939,0.000000000,-0.058947936
1787847661.411810160,38191.701417200,0.246218279,0.000000000,-0.072066888
1787847661.461443186,38191.751023403,0.248170793,0.000000000,-0.082990043
1787847661.511330366,38191.800912991,0.250043154,0.000000000,-0.091460042
1787847661.561299562,38191.850871614,0.248144358,0.000000000,-0.107477903
1787847661.611379147,38191.900964170,0.251054287,0.000000000,-0.110732220
1787847661.661470890,38191.951049817,0.253155708,0.000000000,-0.113651082
1787847661.711484194,38192.001058924,0.255447447,0.000000000,-0.113458484
1787847661.761370659,38192.050954291,0.257052660,0.000000000,-0.112516232
1787847661.811415195,38192.100994302,0.254131407,0.000000000,-0.121552400
1787847661.861344576,38192.150936441,0.251778781,0.000000000,-0.130958855
1787847661.911406279,38192.200981984,0.250104219,0.000000000,-0.141965911
1787847661.961507559,38192.251080990,0.252948016,0.000000000,-0.142193615
1787847662.011451960,38192.301043775,0.255012482,0.000000000,-0.143076763
1787847662.061674356,38192.351258022,0.256977022,0.000000000,-0.143447608
1787847662.111657381,38192.401235707,0.254900247,0.000000000,-0.155029848
1787847662.161402225,38192.450984515,0.253549010,0.000000000,-0.167558938
1787847662.211287022,38192.500847917,0.255234241,0.000000000,-0.171333149
1787847662.261645317,38192.551233654,0.256270528,0.000000000,-0.174845546
1787847662.311527967,38192.601107473,0.257231534,0.000000000,-0.177452564
1787847662.361241579,38192.650812455,0.255357236,0.000000000,-0.189430237
1787847662.411473751,38192.701066237,0.254512459,0.000000000,-0.201726913
1787847662.461587906,38192.751184446,0.254011035,0.000000000,-0.215295494
1787847662.511433363,38192.801020170,0.256619960,0.000000000,-0.218306601
1787847662.561566830,38192.851138722,0.258264631,0.000000000,-0.220445901
1787847662.611268520,38192.900839411,0.257304072,0.000000000,-0.230374247
1787847662.661496878,38192.951081218,0.257027060,0.000000000,-0.240385741
1787847662.711397886,38193.000988335,0.256444722,0.000000000,-0.251568556
1787847662.761425972,38193.051025170,0.256505072,0.000000000,-0.262143523
1787847662.811367750,38193.100950857,0.257039160,0.000000000,-0.272503406
1787847662.861641884,38193.151223457,0.257949710,0.000000000,-0.282359302
1787847662.911763191,38193.201338610,0.259105384,0.000000000,-0.291793138
1787847662.961503267,38193.251083627,0.260000000,0.000000000,-0.300409287
1787847663.011424780,38193.301002396,0.260000000,0.000000000,-0.307519644
1787847663.061361074,38193.350935754,0.260000000,0.000000000,-0.313774914
1787847663.111308336,38193.400883185,0.260000000,0.000000000,-0.319008410
1787847663.161349773,38193.450925900,0.260000000,0.000000000,-0.323320746
1787847663.211324930,38193.500905512,0.260000000,0.000000000,-0.326621354
1787847663.261673212,38193.551253007,0.260000000,0.000000000,-0.319478154
1787847663.311572552,38193.601155909,0.260000000,0.000000000,-0.319783509
1787847663.361653805,38193.651252233,0.260000000,0.000000000,-0.318474442
1787847663.411445618,38193.701045091,0.260000000,0.000000000,-0.317773879
1787847663.461436987,38193.751045330,0.260000000,0.000000000,-0.316114902
1787847663.511601925,38193.801196853,0.260000000,0.000000000,-0.314050227
1787847663.561455250,38193.851032114,0.260000000,0.000000000,-0.311665922
1787847663.611509800,38193.901107108,0.260000000,0.000000000,-0.309219420
1787847663.661500931,38193.951072117,0.260000000,0.000000000,-0.305327743
1787847663.711382389,38194.000977302,0.260000000,0.000000000,-0.301541150
1787847663.761521578,38194.051104395,0.260000000,0.000000000,-0.297118217
1787847663.811411858,38194.100982076,0.260000000,0.000000000,-0.292759627
1787847663.861434221,38194.151004358,0.260000000,0.000000000,-0.287693471
1787847663.911469936,38194.201038098,0.260000000,0.000000000,-0.283075064
1787847663.961569786,38194.251152530,0.260000000,0.000000000,-0.278741777
1787847664.011578083,38194.301162402,0.260000000,0.000000000,-0.273881286
1787847664.061769485,38194.351352041,0.260000000,0.000000000,-0.269028842
1787847664.111521482,38194.401104592,0.260000000,0.000000000,-0.264348119
1787847664.161590099,38194.451167467,0.260000000,0.000000000,-0.259991407
1787847664.211475849,38194.501062639,0.260000000,0.000000000,-0.254606605
1787847664.261518478,38194.551095426,0.260000000,0.000000000,-0.249251246
1787847664.311337233,38194.600936248,0.260000000,0.000000000,-0.242291465
1787847664.361368418,38194.650937048,0.260000000,0.000000000,-0.234486490
1787847664.411555529,38194.701138724,0.260000000,0.000000000,-0.226890117
1787847664.461482286,38194.751075685,0.260000000,0.000000000,-0.219803870
1787847664.511890173,38194.801469587,0.260000000,0.000000000,-0.213295653
1787847664.561637402,38194.851217807,0.260000000,0.000000000,-0.207275525
1787847664.611523867,38194.901109833,0.260000000,0.000000000,-0.201187730
1787847664.661340237,38194.950916049,0.260000000,0.000000000,-0.194442630
1787847664.711478710,38195.001073807,0.260000000,0.000000000,-0.187961385
1787847664.761625290,38195.051228537,0.260000000,0.000000000,-0.181894526
1787847664.811390162,38195.100977823,0.260000000,0.000000000,-0.176361844
1787847664.861461401,38195.151038415,0.260000000,0.000000000,-0.171306372
1787847664.911519527,38195.201101385,0.260000000,0.000000000,-0.166137770
1787847664.961457253,38195.251051416,0.260000000,0.000000000,-0.160477147
1787847665.011414051,38195.301001601,0.260000000,0.000000000,-0.155074373
1787847665.061372757,38195.350964823,0.260000000,0.000000000,-0.150001183
1787847665.111410379,38195.400982995,0.260000000,0.000000000,-0.145362079
1787847665.161640406,38195.451220408,0.260000000,0.000000000,-0.140737101
1787847665.211359978,38195.500931928,0.260000000,0.000000000,-0.136438236
1787847665.261388302,38195.550972039,0.260000000,0.000000000,-0.132358730
1787847665.311393023,38195.600983281,0.260000000,0.000000000,-0.127612948
1787847665.361488819,38195.651063825,0.260000000,0.000000000,-0.122816838
1787847665.411369324,38195.700934245,0.260000000,0.000000000,-0.118169583
1787847665.461454630,38195.751038105,0.260000000,0.000000000,-0.113874279
1787847665.511663675,38195.801247570,0.260000000,0.000000000,-0.109899804
1787847665.561697960,38195.851287149,0.260000000,0.000000000,-0.105106838
1787847665.611495733,38195.901112572,0.260000000,0.000000000,-0.100666717
1787847665.661487818,38195.951076973,0.260000000,0.000000000,-0.096637771
1787847665.713069201,38196.002667696,0.260000000,0.000000000,-0.092947192
1787847665.761565447,38196.051147633,0.260000000,0.000000000,-0.089604147
