sim_stamp_s,wall_monotonic_s,linear_x_mps,linear_y_mps,angular_z_rps
1787849211.228739977,39741.518326201,0.033141572,0.000000000,0.010393599
1787849211.328424931,39741.618007989,0.070682190,0.000000000,0.026863769
1787849211.428422928,39741.718006622,0.109490432,0.000000000,0.040815827
1787849211.528432131,39741.818017388,0.141373649,0.000000000,0.048960023
1787849211.628442764,39741.918044116,0.166300267,0.000000000,0.051112998
1787849211.728509665,39742.018096224,0.184960976,0.000000000,0.051680364
1787849211.828566074,39742.118154515,0.199125409,0.000000000,0.054034002
1787849211.928373337,39742.217972339,0.209961504,0.000000000,0.059382852
1787849212.028308153,39742.317910700,0.218589425,0.000000000,0.066745773
1787849212.128508091,39742.418097701,0.225549504,0.000000000,0.074813858
1787849212.228550434,39742.518147638,0.231929734,0.000000000,0.099615410
1787849212.328474998,39742.618052677,0.238391653,0.000000000,0.104219154
1787849212.428133011,39742.717703365,0.243486986,0.000000000,0.107866779
1787849212.528360128,39742.817944447,0.246282130,0.000000000,0.108252339
1787849212.628650188,39742.918231256,0.247971177,0.000000000,0.110356867
1787849212.728137255,39743.017704056,0.249321684,0.000000000,0.112315536
1787849212.828375340,39743.117944407,0.250414997,0.000000000,0.113338955
1787849212.928524494,39743.218110528,0.251416415,0.000000000,0.112810425
1787849213.028942585,39743.318536206,0.252728373,0.000000000,0.128156915
1787849213.128654242,39743.418229669,0.255261242,0.000000000,0.124140687
1787849213.228250027,39743.517834034,0.257616848,0.000000000,0.118815549
1787849213.328241348,39743.617814640,0.258492112,0.000000000,0.111042723
1787849213.428790569,39743.718368948,0.258639604,0.000000000,0.105921388
1787849213.528521299,39743.818102874,0.258294463,0.000000000,0.119679473
1787849213.628371716,39743.917966753,0.260000000,0.000000000,0.115503512
1787849213.728483438,39744.018069167,0.260000000,0.000000000,0.128093362
1787849213.828373194,39744.117971871,0.260000000,0.000000000,0.120717533
1787849213.928287745,39744.217878066,0.260000000,0.000000000,0.114188336
1787849214.028393507,39744.317977709,0.260000000,0.000000000,0.107225336
1787849214.128399611,39744.417975389,0.260000000,0.000000000,0.103055991
1787849214.228428125,39744.518009689,0.260000000,0.000000000,0.118320569
1787849214.328424931,39744.618014493,0.260000000,0.000000000,0.115454681
1787849214.428608179,39744.718219065,0.260000000,0.000000000,0.128268406
1787849214.528550863,39744.818159443,0.259952009,0.000000000,0.136487097
1787849214.628369331,39744.917942690,0.256791890,0.000000000,0.136292905
1787849214.728403807,39745.018003447,0.253866643,0.000000000,0.144442365
1787849214.828524113,39745.118135306,0.244918093,0.000000000,0.158548430
1787849214.928432941,39745.218015043,0.237885147,0.000000000,0.174918637
1787849215.028490305,39745.318069954,0.232978806,0.000000000,0.191648304
1787849215.128478765,39745.418059130,0.227609858,0.000000000,0.203872487
1787849215.228500128,39745.518104489,0.224236384,0.000000000,0.211554810
1787849215.328659534,39745.618265470,0.219828725,0.000000000,0.216357708
1787849215.428436518,39745.718040479,0.215819702,0.000000000,0.220949560
1787849215.528482199,39745.818090898,0.213604614,0.000000000,0.227323830
1787849215.628343344,39745.917933669,0.212270871,0.000000000,0.234417632
1787849215.728471994,39746.018060694,0.211281523,0.000000000,0.242024437
1787849215.828450441,39746.118058086,0.210578814,0.000000000,0.248432755
1787849215.928601027,39746.218191042,0.210199028,0.000000000,0.254545927
1787849216.028388977,39746.317977549,0.209684119,0.000000000,0.263922513
1787849216.128456116,39746.418044412,0.211055413,0.000000000,0.278821349
1787849216.228365421,39746.517945943,0.213555768,0.000000000,0.293742597
1787849216.328584909,39746.618172016,0.218949735,0.000000000,0.309231162
1787849216.428632021,39746.718220586,0.226724297,0.000000000,0.326785535
1787849216.528429508,39746.818005152,0.234654531,0.000000000,0.336103708
1787849216.628297329,39746.917870910,0.242669776,0.000000000,0.338483751
1787849216.728473902,39747.018063289,0.252119213,0.000000000,0.336090058
1787849216.828295708,39747.117875060,0.259406418,0.000000000,0.334948421
1787849216.928271055,39747.217841964,0.260000000,0.000000000,0.324428558
1787849217.028319597,39747.317906869,0.260000000,0.000000000,0.310685694
1787849217.128193617,39747.417763604,0.260000000,0.000000000,0.293406248
1787849217.228275776,39747.517860795,0.260000000,0.000000000,0.269551963
1787849217.328314066,39747.617891971,0.260000000,0.000000000,0.246384710
1787849217.428204060,39747.717802141,0.260000000,0.000000000,0.219408154
1787849217.528632641,39747.818229250,0.260000000,0.000000000,0.195757344
1787849217.628516436,39747.918100657,0.260000000,0.000000000,0.173015207
1787849217.728411674,39748.018012460,0.260000000,0.000000000,0.152814120
1787849217.828513622,39748.118103820,0.260000000,0.000000000,0.132014140
1787849217.928442717,39748.218017451,0.260000000,0.000000000,0.112366982
1787849218.028271675,39748.317856405,0.260000000,0.000000000,0.093718164
1787849218.128268719,39748.417852712,0.260000000,0.000000000,0.076801330
1787849218.228243113,39748.517813678,0.260000000,0.000000000,0.060506832
1787849218.328337908,39748.617919108,0.260000000,0.000000000,0.046255302
1787849218.428334236,39748.717918434,0.260000000,0.000000000,0.033689495
1787849218.528599977,39748.818182161,0.260000000,0.000000000,0.022580616
1787849218.628563881,39748.918145574,0.260000000,0.000000000,0.013036369
1787849218.728493214,39749.018094286,0.260000000,0.000000000,0.004901816
