sim_stamp_s,wall_monotonic_s,linear_x_mps,linear_y_mps,angular_z_rps
1787850366.003429890,40896.293042946,-0.012083423,0.000000000,-0.008779278
1787850366.103010416,40896.392605836,-0.022387365,0.000000000,-0.026535911
1787850366.203265429,40896.492850244,-0.032921538,0.000000000,-0.045511760
1787850366.302961111,40896.592532215,-0.041942917,0.000000000,-0.065781958
1787850366.402866602,40896.692447349,-0.049393505,0.000000000,-0.086775996
1787850366.502962589,40896.792543225,-0.055400055,0.000000000,-0.107466862
1787850366.603000164,40896.892583929,-0.060054857,0.000000000,-0.126841947
1787850366.702927351,40896.992491360,-0.063880868,0.000000000,-0.144472703
1787850366.803436041,40897.093014652,-0.067127191,0.000000000,-0.160205215
1787850366.903221130,40897.192788779,-0.070160866,0.000000000,-0.173939854
1787850367.003343582,40897.292935298,-0.072477892,0.000000000,-0.185264379
1787850367.103282452,40897.392869547,-0.074666038,0.000000000,-0.194373056
1787850367.203229427,40897.492812153,-0.076858319,0.000000000,-0.201503754
1787850367.303087473,40897.592671964,-0.079030387,0.000000000,-0.207204819
1787850367.403123140,40897.692709772,-0.081254594,0.000000000,-0.211873204
1787850367.503199339,40897.792796142,-0.083340764,0.000000000,-0.216084436
1787850367.603178740,40897.892777265,-0.085245140,0.000000000,-0.220262781
1787850367.703179598,40897.992765801,-0.087062217,0.000000000,-0.224573642
1787850367.803060055,40898.092644106,-0.087875769,0.000000000,-0.229068622
1787850367.903228760,40898.192809774,-0.088458106,0.000000000,-0.233958825
1787850368.002950668,40898.292521355,-0.088907093,0.000000000,-0.239059716
1787850368.103119612,40898.392714391,-0.089303158,0.000000000,-0.244295970
1787850368.203110933,40898.492706999,-0.089645639,0.000000000,-0.249468744
1787850368.303119659,40898.592714353,-0.090000652,0.000000000,-0.254241914
1787850368.403150797,40898.692734763,-0.091339715,0.000000000,-0.258600563
1787850368.503199339,40898.792786141,-0.092630193,0.000000000,-0.262378752
1787850368.603263378,40898.892846444,-0.093879178,0.000000000,-0.265441358
1787850368.703335762,40898.992918367,-0.094839916,0.000000000,-0.267925352
1787850368.803063869,40899.092656354,-0.095591091,0.000000000,-0.269817322
1787850368.903131485,40899.192717151,-0.096086316,0.000000000,-0.271351397
1787850369.003031969,40899.292616686,-0.096385591,0.000000000,-0.272545308
1787850369.103170156,40899.392766436,-0.096469827,0.000000000,-0.273642659
1787850369.203028679,40899.492627187,-0.096381590,0.000000000,-0.274677694
1787850369.303143501,40899.592727924,-0.096119508,0.000000000,-0.275905788
1787850369.403167963,40899.692748445,-0.095697165,0.000000000,-0.277456909
1787850369.503144979,40899.792727857,-0.095141143,0.000000000,-0.279361367
1787850369.603235245,40899.892837962,-0.094453350,0.000000000,-0.281481236
1787850369.703219891,40899.992801653,-0.093665838,0.000000000,-0.283932865
1787850369.803067207,40900.092641491,-0.094811715,0.000000000,-0.286391228
1787850369.903294325,40900.192889750,-0.095832944,0.000000000,-0.289286166
1787850370.003221750,40900.292814960,-0.096608691,0.000000000,-0.292756677
1787850370.103286982,40900.392886026,-0.096750975,0.000000000,-0.296794891
1787850370.203089476,40900.492690267,-0.096451089,0.000000000,-0.301489621
1787850370.303064585,40900.592640942,-0.095599025,0.000000000,-0.306803763
1787850370.403416634,40900.693011695,-0.094442658,0.000000000,-0.312830269
1787850370.503005505,40900.792588642,-0.095763817,0.000000000,-0.319015890
1787850370.603036404,40900.892626855,-0.096804000,0.000000000,-0.325952917
1787850370.703143835,40900.992739521,-0.097180486,0.000000000,-0.333598405
1787850370.803127527,40901.092712342,-0.096818820,0.000000000,-0.342034250
1787850370.903249502,40901.192844566,-0.095915847,0.000000000,-0.351177156
1787850371.003209591,40901.292802247,-0.094349369,0.000000000,-0.360901952
1787850371.103224993,40901.392824593,-0.092533790,0.000000000,-0.371128410
1787850371.203206539,40901.492788537,-0.090543181,0.000000000,-0.381843776
1787850371.303153992,40901.592749819,-0.088123053,0.000000000,-0.393033564
1787850371.403323889,40901.692923149,-0.085749343,0.000000000,-0.404780328
1787850371.503118038,40901.792699881,-0.083372362,0.000000000,-0.417090893
1787850371.603286982,40901.892880778,-0.078235827,0.000000000,-0.430205733
1787850371.703225613,40901.992812483,-0.073359065,0.000000000,-0.443667263
1787850371.803343058,40902.092930600,-0.069376737,0.000000000,-0.457280964
1787850371.903250217,40902.192839520,-0.065512687,0.000000000,-0.471096367
1787850372.003159523,40902.292755487,-0.059838559,0.000000000,-0.485023379
1787850372.103174686,40902.392774016,-0.054683488,0.000000000,-0.498984098
1787850372.203371525,40902.492957358,-0.047433000,0.000000000,-0.513081312
1787850372.303335905,40902.592940183,-0.041013658,0.000000000,-0.527389050
1787850372.403136969,40902.692720629,-0.035036318,0.000000000,-0.541828990
1787850372.503073215,40902.792655473,-0.027905595,0.000000000,-0.556083798
1787850372.603144884,40902.892727598,-0.021106159,0.000000000,-0.570132971
1787850372.703246832,40902.992828451,-0.012978148,0.000000000,-0.583653450
1787850372.803246498,40903.092845025,-0.005723705,0.000000000,-0.597077906
1787850372.903191090,40903.192778811,0.002685190,0.000000000,-0.609945893
1787850373.003190994,40903.292781347,0.028653173,0.000000000,-0.598742485
1787850373.103264332,40903.392855723,0.052671362,0.000000000,-0.581997812
1787850373.203134537,40903.492724799,0.073479280,0.000000000,-0.563318968
1787850373.303141832,40903.592743813,0.089808494,0.000000000,-0.545697391
1787850373.403255463,40903.692852294,0.102622040,0.000000000,-0.529915750
1787850373.503184557,40903.792785365,0.113642238,0.000000000,-0.515166938
1787850373.603103161,40903.892691866,0.123562485,0.000000000,-0.501323879
1787850373.703156233,40903.992740946,0.132221177,0.000000000,-0.488417298
1787850373.803276539,40904.092879702,0.140335128,0.000000000,-0.475885242
1787850373.903393745,40904.192978802,0.147612184,0.000000000,-0.464187056
1787850374.003252268,40904.292853507,0.152190253,0.000000000,-0.455983490
1787850374.103268862,40904.392861930,0.152178928,0.000000000,-0.447309822
1787850374.203186274,40904.492769065,0.152931690,0.000000000,-0.437518537
1787850374.303151846,40904.592731582,0.149321586,0.000000000,-0.424932361
1787850374.403175354,40904.692758735,0.144337490,0.000000000,-0.404276699
1787850374.503176212,40904.792773675,0.141969979,0.000000000,-0.380649537
1787850374.603677273,40904.893276486,0.140147731,0.000000000,-0.355611354
1787850374.703269720,40904.992871793,0.137658983,0.000000000,-0.328294098
1787850374.803154707,40905.092740408,0.136262268,0.000000000,-0.305155933
1787850374.903107166,40905.192700980,0.135120630,0.000000000,-0.289068460
1787850375.003180981,40905.292775249,0.133297652,0.000000000,-0.272408485
1787850375.103303432,40905.392886377,0.130790368,0.000000000,-0.255617142
1787850375.203220844,40905.492801003,0.127593040,0.000000000,-0.239205152
1787850375.303359509,40905.592962966,0.121860556,0.000000000,-0.225639164
1787850375.403289557,40905.692866894,0.125870824,0.000000000,-0.195337832
1787850375.503147602,40905.792719971,0.131461084,0.000000000,-0.166283160
1787850375.603037834,40905.892608838,0.135043591,0.000000000,-0.134705007
1787850375.703121424,40905.992691510,0.137399599,0.000000000,-0.103621222
1787850375.803170443,40906.092738875,0.139166981,0.000000000,-0.073248632
1787850375.903089523,40906.192671639,0.140099421,0.000000000,-0.045845672
1787850376.003308773,40906.292902129,0.140445784,0.000000000,-0.022715718
1787850376.103343964,40906.392950533,0.139737472,0.000000000,-0.002976883
1787850376.203258991,40906.492854509,0.138103977,0.000000000,0.014708026
1787850376.303318977,40906.592912110,0.136137947,0.000000000,0.032327201
1787850376.403094530,40906.692676033,0.133813187,0.000000000,0.047407709
1787850376.503211260,40906.792811634,0.131312475,0.000000000,0.059907708
1787850376.603181124,40906.892770429,0.128410071,0.000000000,0.072370738
1787850376.703134060,40906.992716683,0.118258335,0.000000000,0.094381213
1787850376.803223848,40907.092807852,0.109028541,0.000000000,0.122706249
1787850376.903295040,40907.192884344,0.107585691,0.000000000,0.134997651
1787850377.003253460,40907.292836277,0.107818536,0.000000000,0.140784234
1787850377.103348732,40907.392949890,0.107666664,0.000000000,0.143692255
1787850377.203228712,40907.492821020,0.106791466,0.000000000,0.144842207
1787850377.303244829,40907.592842446,0.105629854,0.000000000,0.145495236
1787850377.403294325,40907.692880970,0.103898853,0.000000000,0.145540386
1787850377.503132105,40907.792713460,0.102668256,0.000000000,0.143870190
1787850377.603264809,40907.892863419,0.099788465,0.000000000,0.141604453
1787850377.703226805,40907.992809833,0.097618908,0.000000000,0.138445064
