sim_stamp_s,wall_monotonic_s,linear_x_mps,linear_y_mps,angular_z_rps
1787874285.291486025,64815.581094299,0.033142194,0.000000000,0.010393826
1787874285.390953541,64815.680541938,0.070683584,0.000000000,0.026864048
1787874285.491128922,64815.780722328,0.109492764,0.000000000,0.040815767
1787874285.590870857,64815.880462852,0.141380668,0.000000000,0.048957132
1787874285.690770626,64815.980354966,0.166309625,0.000000000,0.051108103
1787874285.790739536,64816.080309799,0.184941262,0.000000000,0.051697459
1787874285.890852451,64816.180425661,0.199075609,0.000000000,0.054075237
1787874285.990991354,64816.280575546,0.209880754,0.000000000,0.059450049
1787874286.090975285,64816.380594451,0.218485206,0.000000000,0.066836938
1787874286.190965652,64816.480568362,0.225438148,0.000000000,0.074916773
1787874286.291024923,64816.580630850,0.231812000,0.000000000,0.099736989
1787874286.391123056,64816.680723664,0.239298970,0.000000000,0.120759018
1787874286.491088390,64816.780677247,0.246055543,0.000000000,0.123404287
1787874286.591047764,64816.880646564,0.250372112,0.000000000,0.121722087
1787874286.691021681,64816.980612167,0.252075434,0.000000000,0.119541891
1787874286.791078806,64817.080681075,0.252936810,0.000000000,0.119373769
1787874286.890991211,64817.180577486,0.253529847,0.000000000,0.119289272
1787874286.990869284,64817.280435284,0.254178703,0.000000000,0.118009239
1787874287.091166973,64817.380756937,0.255365878,0.000000000,0.132520199
1787874287.190985203,64817.480568418,0.257711083,0.000000000,0.127830744
1787874287.291141272,64817.580741573,0.260000000,0.000000000,0.138813794
1787874287.390800238,64817.680376320,0.260000000,0.000000000,0.130091146
1787874287.490892172,64817.780487377,0.260000000,0.000000000,0.122545689
1787874287.591029644,64817.880614737,0.260000000,0.000000000,0.131889924
1787874287.691066980,64817.980656427,0.260000000,0.000000000,0.143876240
1787874287.791006565,64818.080586573,0.260000000,0.000000000,0.138132244
1787874287.890972853,64818.180570535,0.260000000,0.000000000,0.146359801
1787874287.990979671,64818.280559774,0.260000000,0.000000000,0.137198806
1787874288.091086864,64818.380676205,0.260000000,0.000000000,0.128684834
1787874288.191102743,64818.480709948,0.260000000,0.000000000,0.119656764
1787874288.291199446,64818.580790985,0.260000000,0.000000000,0.113278314
1787874288.390960932,64818.680551409,0.260000000,0.000000000,0.108506143
1787874288.490966558,64818.780568123,0.260000000,0.000000000,0.104767434
1787874288.591263056,64818.880840467,0.260000000,0.000000000,0.118826777
1787874288.690811872,64818.980383628,0.260000000,0.000000000,0.131813273
1787874288.790812254,64819.080396753,0.260000000,0.000000000,0.131777942
1787874288.890916824,64819.180496635,0.260000000,0.000000000,0.140891358
1787874288.990963221,64819.280547830,0.252579033,0.000000000,0.152567148
1787874289.090951443,64819.380538958,0.245540574,0.000000000,0.169401675
1787874289.190800190,64819.480384936,0.240211651,0.000000000,0.185909346
1787874289.290919542,64819.580494545,0.233518437,0.000000000,0.199143723
1787874289.390890598,64819.680471686,0.228605762,0.000000000,0.209378168
1787874289.490810394,64819.780368955,0.223458856,0.000000000,0.216580048
1787874289.590931654,64819.880504899,0.219987109,0.000000000,0.221250564
1787874289.690860510,64819.980430406,0.218668550,0.000000000,0.226171345
1787874289.790842533,64820.080425094,0.216780484,0.000000000,0.233190835
1787874289.890808582,64820.180378435,0.217175737,0.000000000,0.238519952
1787874289.991009474,64820.280589715,0.217881382,0.000000000,0.243450686
1787874290.090968370,64820.380539887,0.218133524,0.000000000,0.255322754
1787874290.190942764,64820.480521842,0.219781101,0.000000000,0.271239728
1787874290.291046619,64820.580616460,0.223977402,0.000000000,0.285022825
1787874290.391003847,64820.680586962,0.229614869,0.000000000,0.300679535
1787874290.491085529,64820.780686830,0.236563221,0.000000000,0.321742326
1787874290.591129780,64820.880720204,0.245174244,0.000000000,0.330649018
1787874290.691209793,64820.980793285,0.253669411,0.000000000,0.333073378
1787874290.790989161,64821.080580235,0.260000000,0.000000000,0.330694497
1787874290.890935659,64821.180559128,0.260000000,0.000000000,0.328353882
1787874290.990940332,64821.280521159,0.260000000,0.000000000,0.319034725
1787874291.090875387,64821.380439710,0.260000000,0.000000000,0.305242300
1787874291.190987825,64821.480582123,0.260000000,0.000000000,0.287300169
1787874291.291096210,64821.580690389,0.260000000,0.000000000,0.269592047
1787874291.391089439,64821.680702009,0.260000000,0.000000000,0.246896595
1787874291.491100311,64821.780694758,0.260000000,0.000000000,0.225884780
1787874291.591075182,64821.880672902,0.260000000,0.000000000,0.205418110
1787874291.691075087,64821.980661198,0.260000000,0.000000000,0.185289636
1787874291.791100979,64822.080690425,0.260000000,0.000000000,0.166551411
1787874291.891130447,64822.180721592,0.260000000,0.000000000,0.149259746
1787874291.991147041,64822.280749677,0.260000000,0.000000000,0.132879525
1787874292.091192484,64822.380804019,0.260000000,0.000000000,0.117557108
1787874292.191195965,64822.480787617,0.260000000,0.000000000,0.103521541
1787874292.291078329,64822.580680535,0.260000000,0.000000000,0.091422930
1787874292.391166687,64822.680753017,0.260000000,0.000000000,0.080540501
1787874292.491553068,64822.781146894,0.260000000,0.000000000,0.071424745
1787874292.590855598,64822.880438513,0.260000000,0.000000000,0.062869042
1787874292.691087961,64822.980665522,0.260000000,0.000000000,0.056031991
1787874292.790889740,64823.080464301,0.260000000,0.000000000,0.050550532
1787874292.891104460,64823.180690124,0.260000000,0.000000000,0.045806948
1787874292.991132498,64823.280743520,0.260000000,0.000000000,0.041982442
1787874293.091037035,64823.380643553,0.260000000,0.000000000,0.038886648
1787874293.191143274,64823.480722216,0.260000000,0.000000000,0.036138695
1787874293.290962696,64823.580545989,0.260000000,0.000000000,0.033793144
1787874293.390870094,64823.680444308,0.260000000,0.000000000,0.031674780
1787874293.490877390,64823.780448664,0.260000000,0.000000000,0.029405985
1787874293.590954781,64823.880537267,0.260000000,0.000000000,0.027251963
1787874293.691109419,64823.980683131,0.260000000,0.000000000,0.025153203
1787874293.790924788,64824.080498304,0.260000000,0.000000000,0.022631954
1787874293.891049385,64824.180622567,0.260000000,0.000000000,0.020168332
1787874293.990903139,64824.280482828,0.260000000,0.000000000,0.017845992
