sim_stamp_s,wall_monotonic_s,linear_x_mps,linear_y_mps,angular_z_rps
1787885546.325940371,76076.615531397,0.032016035,0.000000000,0.006735382
1787885546.425787210,76076.715368601,0.067480400,0.000000000,0.015989300
1787885546.525578022,76076.815169823,0.103586167,0.000000000,0.019971009
1787885546.625641584,76076.915216410,0.132841155,0.000000000,0.016750401
1787885546.725732803,76077.015316874,0.155364081,0.000000000,0.006985244
1787885546.825657845,76077.115249399,0.171966866,0.000000000,-0.004264301
1787885546.925703764,76077.215302727,0.184284657,0.000000000,-0.013595308
1787885547.025719643,76077.315323100,0.193455175,0.000000000,-0.019743128
1787885547.125711441,76077.415306793,0.200534910,0.000000000,-0.023152485
1787885547.225915432,76077.515517643,0.206075922,0.000000000,-0.024886712
1787885547.325623274,76077.615235322,0.210415304,0.000000000,-0.025852898
1787885547.425798178,76077.715422449,0.213659406,0.000000000,-0.026622916
1787885547.525892019,76077.815478509,0.216088459,0.000000000,-0.027377298
1787885547.625699520,76077.915284951,0.217870116,0.000000000,-0.028219093
1787885547.725779533,76078.015362642,0.215080380,0.000000000,-0.030877523
1787885547.825842619,76078.115425766,0.217178047,0.000000000,-0.036253687
1787885547.925642967,76078.215229525,0.219169483,0.000000000,-0.042094927
1787885548.025820971,76078.315429425,0.216456532,0.000000000,-0.050969891
1787885548.125768661,76078.415360107,0.217522651,0.000000000,-0.059644796
1787885548.225821733,76078.515410136,0.218579412,0.000000000,-0.067627564
1787885548.325620651,76078.615215656,0.215294302,0.000000000,-0.077472828
1787885548.425902605,76078.715492344,0.212426186,0.000000000,-0.089357704
1787885548.525889874,76078.815480597,0.210623831,0.000000000,-0.104136616
1787885548.625924826,76078.915508720,0.210383087,0.000000000,-0.120549351
1787885548.725794077,76079.015384361,0.210413337,0.000000000,-0.138137951
1787885548.825848341,76079.115436124,0.210384279,0.000000000,-0.155640543
1787885548.925931215,76079.215516244,0.210894257,0.000000000,-0.171468154
1787885549.025868654,76079.315451714,0.211374059,0.000000000,-0.186352655
1787885549.125761271,76079.415361442,0.212700665,0.000000000,-0.198972598
1787885549.225854874,76079.515439062,0.214197725,0.000000000,-0.210621685
1787885549.325711966,76079.615312611,0.216638297,0.000000000,-0.220182151
1787885549.425771475,76079.715368984,0.219151989,0.000000000,-0.229261488
1787885549.525790930,76079.815390679,0.221635312,0.000000000,-0.237825930
1787885549.625853777,76079.915455281,0.224717721,0.000000000,-0.245105073
1787885549.725794554,76080.015379144,0.227435842,0.000000000,-0.251826763
1787885549.825698137,76080.115293466,0.228820682,0.000000000,-0.259437174
1787885549.925751209,76080.215337134,0.230272025,0.000000000,-0.268002152
1787885550.025755882,76080.315337063,0.230998948,0.000000000,-0.275074840
1787885550.125954151,76080.415539498,0.231957659,0.000000000,-0.281575531
1787885550.225651264,76080.515232706,0.232065931,0.000000000,-0.288314730
1787885550.325751305,76080.615335335,0.232237369,0.000000000,-0.294369221
1787885550.425824165,76080.715410744,0.232860550,0.000000000,-0.298988789
1787885550.525830746,76080.815417378,0.236285433,0.000000000,-0.296286196
1787885550.625917673,76080.915504876,0.235409796,0.000000000,-0.296195209
1787885550.725705147,76081.015297860,0.232475817,0.000000000,-0.294884145
1787885550.825816393,76081.115394514,0.230362222,0.000000000,-0.293561667
1787885550.925694942,76081.215282254,0.229731113,0.000000000,-0.293580681
1787885551.025805235,76081.315404669,0.234990567,0.000000000,-0.287969440
1787885551.125927925,76081.415511513,0.238793999,0.000000000,-0.280414283
1787885551.225797653,76081.515395260,0.236310184,0.000000000,-0.271935612
1787885551.325872660,76081.615474128,0.233331591,0.000000000,-0.263559580
1787885551.425730228,76081.715329789,0.232488587,0.000000000,-0.259322673
1787885551.525777340,76081.815375632,0.234703094,0.000000000,-0.257750809
1787885551.625873804,76081.915460449,0.237917811,0.000000000,-0.258959055
1787885551.725975990,76082.015575647,0.242388308,0.000000000,-0.259922028
1787885551.825901508,76082.115502471,0.248285472,0.000000000,-0.258562684
1787885551.925826311,76082.215425016,0.253548801,0.000000000,-0.255405813
1787885552.025978088,76082.315573845,0.260000000,0.000000000,-0.244501933
