sim_time_s,elapsed_s,scenario_time_s,planned_x_m,planned_y_m,planned_yaw_rad,planned_vx_mps,planned_vy_mps,obstacle_x_m,obstacle_y_m,obstacle_yaw_rad,robot_x_m,robot_y_m,robot_yaw_rad,center_distance_m,robot_obstacle_clearance_m,model_state_samples,service_updates,service_failures
49.800000000,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,,,,,,,,,0,1,0
49.800000000,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,,,,,,,,,0,1,0
49.900000000,0.100000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,-8.498443983,0.000000809,0.001419850,4.587591613,3.882836360,3,2,0
49.900000000,0.100000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,-8.498443983,0.000000809,0.001419850,4.587591613,3.882836360,3,2,0
50.000000000,0.200000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,-8.498441009,0.000000854,0.001422720,4.587588688,3.882834086,6,3,0
50.000000000,0.200000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,-8.498441009,0.000000854,0.001422720,4.587588688,3.882834086,6,3,0
50.100000000,0.300000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,-8.498438080,0.000000970,0.001425522,4.587585793,3.882831834,9,4,0
50.100000000,0.300000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,-8.498438080,0.000000970,0.001425522,4.587585793,3.882831834,9,4,0
50.200000000,0.400000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,-8.498435035,0.000000679,0.001428682,4.587582865,3.882829588,12,5,0
50.200000000,0.400000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,-8.498435035,0.000000679,0.001428682,4.587582865,3.882829588,12,5,0
50.300000000,0.500000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,-8.498431989,0.000000816,0.001431488,4.587579851,3.882827220,15,6,0
50.300000000,0.500000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,-8.498431989,0.000000816,0.001431488,4.587579851,3.882827220,15,6,0
50.400000000,0.600000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,-8.498429093,0.000001026,0.001434204,4.587576970,3.882824973,18,7,0
50.400000000,0.600000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,-8.498429093,0.000001026,0.001434204,4.587576970,3.882824973,18,7,0
50.500000000,0.700000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,-8.498426071,0.000000783,0.001437317,4.587574054,3.882822733,21,8,0
50.500000000,0.700000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,-8.498426071,0.000000783,0.001437317,4.587574054,3.882822733,21,8,0
50.600000000,0.800000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,-8.498423008,0.000000845,0.001440179,4.587571039,3.882820368,24,9,0
50.600000000,0.800000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,-8.498423008,0.000000845,0.001440179,4.587571039,3.882820368,24,9,0
