sim_stamp_s,wall_monotonic_s,linear_x_mps,linear_y_mps,angular_z_rps
1787883309.425467968,73839.715075770,0.070684493,0.000000000,0.026864192
1787883309.524995089,73839.814589986,0.109502316,0.000000000,0.040812694
1787883309.624898195,73839.914490840,0.141378820,0.000000000,0.048960641
1787883309.724921227,73840.014498988,0.166303426,0.000000000,0.051112466
1787883309.824789524,73840.114371865,0.184962317,0.000000000,0.051679201
1787883309.924876690,73840.214469782,0.199124530,0.000000000,0.054033849
1787883310.024856567,73840.314435935,0.209960639,0.000000000,0.059382562
1787883310.124894142,73840.414486256,0.218582213,0.000000000,0.066752315
1787883310.224892616,73840.514473694,0.225544393,0.000000000,0.074818663
1787883310.324948311,73840.614550360,0.231934190,0.000000000,0.099608839
1787883310.424836636,73840.714431031,0.238412350,0.000000000,0.104189835
1787883310.524990320,73840.814574822,0.243536919,0.000000000,0.107805543
1787883310.625026226,73840.914629723,0.246354371,0.000000000,0.108164325
1787883310.725019693,73841.014607439,0.248066738,0.000000000,0.110242642
1787883310.824895144,73841.114479738,0.249436483,0.000000000,0.112179056
1787883310.924853086,73841.214438305,0.250539362,0.000000000,0.113189921
1787883311.024959564,73841.314538221,0.251548856,0.000000000,0.112650089
1787883311.124856949,73841.414455895,0.252878755,0.000000000,0.127985492
1787883311.225075483,73841.514671244,0.255425662,0.000000000,0.123933993
1787883311.325007439,73841.614589510,0.257784039,0.000000000,0.118593477
1787883311.425089836,73841.714693990,0.258582234,0.000000000,0.128241614
1787883311.525005341,73841.814606013,0.260000000,0.000000000,0.122627459
1787883311.625024796,73841.914628283,0.260000000,0.000000000,0.134326190
1787883311.725064039,73842.014663686,0.260000000,0.000000000,0.126451015
1787883311.825090647,73842.114695397,0.260000000,0.000000000,0.119044773
1787883311.925133228,73842.214719831,0.260000000,0.000000000,0.128819376
1787883312.025106907,73842.314706818,0.260000000,0.000000000,0.123034105
1787883312.125057220,73842.414645667,0.260000000,0.000000000,0.135315657
1787883312.224877119,73842.514460702,0.260000000,0.000000000,0.146184206
1787883312.324873686,73842.614458965,0.260000000,0.000000000,0.140322238
1787883312.425006390,73842.714619984,0.260000000,0.000000000,0.129160255
1787883312.524970293,73842.814568326,0.260000000,0.000000000,0.118105166
1787883312.624986172,73842.914567415,0.260000000,0.000000000,0.109120660
