sim_time_s,elapsed_s,scenario_time_s,planned_x_m,planned_y_m,planned_yaw_rad,planned_vx_mps,planned_vy_mps,obstacle_x_m,obstacle_y_m,obstacle_yaw_rad,robot_x_m,robot_y_m,robot_yaw_rad,center_distance_m,robot_obstacle_clearance_m,model_state_samples,service_updates,service_failures
49.600000000,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,-4.000000000,0.900000000,0.000000000,-8.498459333,0.000000818,0.001404986,4.587606664,3.882848065,2,1,0
49.600000000,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,-4.000000000,0.900000000,0.000000000,-8.498459333,0.000000818,0.001404986,4.587606664,3.882848065,2,1,0
49.700000000,0.100000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,-8.498456427,0.000000912,0.001407811,4.587603795,3.882845843,5,2,0
49.700000000,0.100000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,-8.498456427,0.000000912,0.001407811,4.587603795,3.882845843,5,2,0
49.800000000,0.200000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,-8.498453279,0.000000735,0.001410868,4.587600743,3.882843460,8,3,0
49.800000000,0.200000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,-8.498453279,0.000000735,0.001410868,4.587600743,3.882843460,8,3,0
49.900000000,0.300000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,-8.498450297,0.000000828,0.001413706,4.587597801,3.882841166,11,4,0
49.900000000,0.300000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,-8.498450297,0.000000828,0.001413706,4.587597801,3.882841166,11,4,0
50.000000000,0.400000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,-8.498447281,0.000000835,0.001416609,4.587594842,3.882838862,14,5,0
50.000000000,0.400000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,-8.498447281,0.000000835,0.001416609,4.587594842,3.882838862,14,5,0
50.100000000,0.500000000,0.000000000,-4.000000000,0.900000000,3.141592654,0.000000000,0.000000000,-4.000000000,0.900000000,3.141592654,-8.498444272,0.000000835,0.001419510,4.587591892,3.882836564,17,6,0
