sim_stamp_s,wall_monotonic_s,linear_x_mps,linear_y_mps,angular_z_rps
1787863585.447982073,54115.737578043,0.033142317,0.000000000,0.010393881
1787863585.547642469,54115.837235245,0.070683882,0.000000000,0.026864108
1787863585.647556543,54115.937143779,0.109493256,0.000000000,0.040815730
1787863585.747444153,54116.037014210,0.141381323,0.000000000,0.048956972
1787863585.847622156,54116.137209596,0.166310608,0.000000000,0.051107489
1787863585.947743893,54116.237314553,0.184970766,0.000000000,0.051674277
1787863586.047679663,54116.337251650,0.199129522,0.000000000,0.054031469
1787863586.147713423,54116.437286596,0.209952459,0.000000000,0.059390754
1787863586.247536182,54116.537107171,0.218567371,0.000000000,0.066765204
1787863586.347698450,54116.637291543,0.225517720,0.000000000,0.074843287
1787863586.447597742,54116.737169669,0.231887475,0.000000000,0.099659137
1787863586.547993660,54116.837584529,0.238344401,0.000000000,0.104278296
1787863586.647820711,54116.937408848,0.243458346,0.000000000,0.107914701
1787863586.747912169,54117.037510901,0.246263668,0.000000000,0.108294964
1787863586.847756863,54117.137347526,0.247962460,0.000000000,0.110391431
1787863586.947768927,54117.237354360,0.249189436,0.000000000,0.112459198
1787863587.047674417,54117.337249464,0.250291049,0.000000000,0.113471314
1787863587.147528648,54117.437112829,0.251297981,0.000000000,0.112935096
1787863587.247656822,54117.537245636,0.252647728,0.000000000,0.128255546
1787863587.347705603,54117.637286400,0.255218297,0.000000000,0.124199070
1787863587.447726488,54117.737330727,0.257599026,0.000000000,0.118844926
1787863587.547715187,54117.837333198,0.258390963,0.000000000,0.128489092
1787863587.647902489,54117.937480155,0.260000000,0.000000000,0.122892000
1787863587.747580051,54118.037167483,0.260000000,0.000000000,0.134605542
1787863587.847700596,54118.137290195,0.260000000,0.000000000,0.126757681
1787863587.947700977,54118.237270939,0.260000000,0.000000000,0.119339049
1787863588.047750950,54118.337322412,0.260000000,0.000000000,0.129121080
1787863588.147649288,54118.437219355,0.260000000,0.000000000,0.123348556
1787863588.247752190,54118.537325849,0.260000000,0.000000000,0.135644525
1787863588.347723722,54118.637309263,0.260000000,0.000000000,0.146669447
1787863588.447579622,54118.737165996,0.260000000,0.000000000,0.140442982
1787863588.547662735,54118.837244378,0.260000000,0.000000000,0.148142591
1787863588.647574425,54118.937144116,0.260000000,0.000000000,0.138183773
1787863588.747704983,54119.037293381,0.260000000,0.000000000,0.129145056
1787863588.847640038,54119.137226464,0.260000000,0.000000000,0.119000241
1787863588.947830439,54119.237418732,0.260000000,0.000000000,0.111894108
1787863589.047865629,54119.337453913,0.260000000,0.000000000,0.105988696
1787863589.147886276,54119.437474962,0.260000000,0.000000000,0.101167433
1787863589.247827291,54119.537428025,0.260000000,0.000000000,0.097525604
1787863589.347760439,54119.637362934,0.259148210,0.000000000,0.095065244
1787863589.447832108,54119.737439268,0.256661028,0.000000000,0.093675680
1787863589.547837496,54119.837432881,0.253640175,0.000000000,0.093980305
1787863589.647615671,54119.937179343,0.250135243,0.000000000,0.094546251
1787863589.747792482,54120.037383714,0.246142223,0.000000000,0.095599733
1787863589.847757578,54120.137343510,0.240681127,0.000000000,0.095943980
1787863589.947911978,54120.237501191,0.236025959,0.000000000,0.095872201
1787863590.047935724,54120.337538868,0.232127368,0.000000000,0.095514812
1787863590.147840977,54120.437459001,0.229729846,0.000000000,0.093976453
1787863590.247895002,54120.537503331,0.227548212,0.000000000,0.093655899
1787863590.347943068,54120.637548629,0.224795297,0.000000000,0.093645997
1787863590.447737932,54120.737339734,0.221424073,0.000000000,0.093458951
1787863590.547950745,54120.837530981,0.216623023,0.000000000,0.092738241
1787863590.647918701,54120.937521924,0.210636303,0.000000000,0.095623977
1787863590.747556686,54121.037123545,0.205548644,0.000000000,0.099902064
1787863590.847628355,54121.137205566,0.198457509,0.000000000,0.102680512
1787863590.947894096,54121.237472325,0.192862511,0.000000000,0.102220356
1787863591.047727108,54121.337318363,0.187749043,0.000000000,0.101479739
1787863591.147726297,54121.437315857,0.181691498,0.000000000,0.099104337
1787863591.247577190,54121.537152213,0.176267773,0.000000000,0.096639410
1787863591.347703218,54121.637273238,0.171438545,0.000000000,0.093490899
1787863591.448068619,54121.737650434,0.166832149,0.000000000,0.089662805
1787863591.547826767,54121.837416480,0.163276002,0.000000000,0.085511521
1787863591.647825718,54121.937411415,0.159720793,0.000000000,0.081050441
1787863591.747869730,54122.037455179,0.155598357,0.000000000,0.077320047
1787863591.847836256,54122.137412316,0.151306748,0.000000000,0.072336018
1787863591.947667599,54122.237240835,0.146600664,0.000000000,0.067197978
1787863592.047729492,54122.337303398,0.142330214,0.000000000,0.063096017
1787863592.147623777,54122.437201513,0.137526065,0.000000000,0.062094513
1787863592.247589350,54122.537165061,0.133341178,0.000000000,0.062482532
1787863592.347854376,54122.637436251,0.129244104,0.000000000,0.062564075
1787863592.447666407,54122.737252224,0.125554606,0.000000000,0.063287571
1787863592.547695398,54122.837266927,0.122087903,0.000000000,0.063734367
1787863592.647743464,54122.937324432,0.119512953,0.000000000,0.065622613
1787863592.747674227,54123.037261749,0.116792835,0.000000000,0.067184612
1787863592.847617865,54123.137192285,0.114150830,0.000000000,0.068960100
1787863592.947796583,54123.237396121,0.110916160,0.000000000,0.070280142
1787863593.047862530,54123.337460023,0.107817166,0.000000000,0.071476616
1787863593.147954226,54123.437545748,0.104820475,0.000000000,0.072232634
1787863593.247783422,54123.537372474,0.101748504,0.000000000,0.072961256
1787863593.347963572,54123.637574293,0.098488785,0.000000000,0.074110553
1787863593.448138714,54123.737732328,0.095532753,0.000000000,0.076167710
1787863593.547996044,54123.837597637,0.092560969,0.000000000,0.078512818
1787863593.647790909,54123.937386563,0.089696087,0.000000000,0.081180558
1787863593.748044252,54124.037627053,0.087070249,0.000000000,0.085284971
1787863593.847833633,54124.137413219,0.084750175,0.000000000,0.088936493
1787863593.947752476,54124.237329060,0.082154110,0.000000000,0.091335751
1787863594.047719002,54124.337289854,0.079363964,0.000000000,0.094231114
1787863594.147829771,54124.437411103,0.076995157,0.000000000,0.096995011
1787863594.248062372,54124.537657223,0.072062194,0.000000000,0.100722179
1787863594.347684860,54124.637260114,0.068488307,0.000000000,0.107096367
