sim_time_s,elapsed_s,scenario_time_s,planned_x_m,planned_y_m,planned_yaw_rad,planned_vx_mps,planned_vy_mps,obstacle_x_m,obstacle_y_m,obstacle_yaw_rad,robot_x_m,robot_y_m,robot_yaw_rad,center_distance_m,robot_obstacle_clearance_m,model_state_samples,service_updates,service_failures
46.900000000,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,0.000000000,-8.498537171,0.000000745,0.001329332,1.801965237,1.000636500,1,1,0
46.900000000,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,0.000000000,-8.498537171,0.000000745,0.001329332,1.801965237,1.000636500,1,1,0
47.000000000,0.100000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498534202,0.000000744,0.001332235,1.801963591,1.000636011,4,2,0
47.000000000,0.100000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498534202,0.000000744,0.001332235,1.801963591,1.000636011,4,2,0
47.100000000,0.200000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498531196,0.000000720,0.001335169,1.801961905,1.000635493,7,3,0
47.100000000,0.200000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498531196,0.000000720,0.001335169,1.801961905,1.000635493,7,3,0
47.200000000,0.300000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498528271,0.000000794,0.001338013,1.801960346,1.000635077,10,4,0
47.200000000,0.300000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498528271,0.000000794,0.001338013,1.801960346,1.000635077,10,4,0
47.300000000,0.400000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498525355,0.000000672,0.001341026,1.801958629,1.000634518,13,5,0
47.300000000,0.400000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498525355,0.000000672,0.001341026,1.801958629,1.000634518,13,5,0
47.400000000,0.500000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498522277,0.000000647,0.001343961,1.801956902,1.000633972,16,6,0
47.400000000,0.500000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498522277,0.000000647,0.001343961,1.801956902,1.000633972,16,6,0
47.500000000,0.600000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498519197,0.000000700,0.001346825,1.801955240,1.000633484,19,7,0
47.500000000,0.600000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498519197,0.000000700,0.001346825,1.801955240,1.000633484,19,7,0
47.600000000,0.700000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498517207,0.000000820,0.001348660,1.801954237,1.000633245,21,8,0
47.600000000,0.700000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498516294,0.000000848,0.001349607,1.801953754,1.000633132,22,8,0
47.700000000,0.800000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498514331,0.000000750,0.001351626,1.801952585,1.000632738,24,9,0
47.700000000,0.800000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498514331,0.000000750,0.001351626,1.801952585,1.000632738,24,9,0
47.800000000,0.900000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498511402,0.000000534,0.001354722,1.801950783,1.000632105,27,10,0
47.800000000,0.900000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498511402,0.000000534,0.001354722,1.801950783,1.000632105,27,10,0
47.900000000,1.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498508249,0.000000891,0.001357331,1.801949332,1.000631819,30,11,0
47.900000000,1.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498508249,0.000000891,0.001357331,1.801949332,1.000631819,30,11,0
48.000000000,1.100000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498505239,0.000000797,0.001360306,1.801947587,1.000631243,33,12,0
48.000000000,1.100000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498505239,0.000000797,0.001360306,1.801947587,1.000631243,33,12,0
48.100000000,1.200000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498502186,0.000000582,0.001363410,1.801945716,1.000630566,36,13,0
48.100000000,1.200000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498502186,0.000000582,0.001363410,1.801945716,1.000630566,36,13,0
48.200000000,1.300000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498499274,0.000000877,0.001366072,1.801944348,1.000630323,39,14,0
48.200000000,1.300000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498499274,0.000000877,0.001366072,1.801944348,1.000630323,39,14,0
48.300000000,1.400000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498496362,0.000000728,0.001369101,1.801942610,1.000629743,42,15,0
48.300000000,1.400000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498496362,0.000000728,0.001369101,1.801942610,1.000629743,42,15,0
48.400000000,1.500000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498493407,0.000000765,0.001371983,1.801941003,1.000629290,45,16,0
48.400000000,1.500000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498493407,0.000000765,0.001371983,1.801941003,1.000629290,45,16,0
48.500000000,1.600000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498490334,0.000000844,0.001374817,1.801939366,1.000628822,48,17,0
48.500000000,1.600000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498490334,0.000000844,0.001374817,1.801939366,1.000628822,48,17,0
48.600000000,1.700000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498487301,0.000000802,0.001377758,1.801937650,1.000628279,51,18,0
48.600000000,1.700000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498487301,0.000000802,0.001377758,1.801937650,1.000628279,51,18,0
48.700000000,1.800000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498484187,0.000000510,0.001380928,1.801935682,1.000627521,54,19,0
48.700000000,1.800000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498484187,0.000000510,0.001380928,1.801935682,1.000627521,54,19,0
48.800000000,1.900000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498481316,0.000000781,0.001383617,1.801934317,1.000627277,57,20,0
48.800000000,1.900000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498481316,0.000000781,0.001383617,1.801934317,1.000627277,57,20,0
48.900000000,2.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498478350,0.000000971,0.001386351,1.801932831,1.000626931,60,21,0
48.900000000,2.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498478350,0.000000971,0.001386351,1.801932831,1.000626931,60,21,0
49.000000000,2.100000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498475465,0.000000738,0.001389449,1.801931038,1.000626297,63,22,0
49.000000000,2.100000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498475465,0.000000738,0.001389449,1.801931038,1.000626297,63,22,0
49.100000000,2.200000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498472422,0.000000878,0.001392241,1.801929469,1.000625889,66,23,0
49.100000000,2.200000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498472422,0.000000878,0.001392241,1.801929469,1.000625889,66,23,0
49.200000000,2.300000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498469380,0.000000809,0.001395199,1.801927726,1.000625322,69,24,0
49.200000000,2.300000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498469380,0.000000809,0.001395199,1.801927726,1.000625322,69,24,0
49.300000000,2.400000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498467378,0.000000744,0.001397204,1.801926562,1.000624941,71,25,0
49.300000000,2.400000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498466469,0.000000777,0.001398143,1.801926087,1.000624834,72,25,0
49.400000000,2.500000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498464455,0.000000875,0.001400001,1.801925052,1.000624570,74,26,0
49.400000000,2.500000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498464455,0.000000875,0.001400001,1.801925052,1.000624570,74,26,0
49.500000000,2.600000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498461464,0.000000680,0.001403076,1.801923232,1.000623928,77,27,0
49.500000000,2.600000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498461464,0.000000680,0.001403076,1.801923232,1.000623928,77,27,0
49.600000000,2.700000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498458423,0.000000887,0.001405814,1.801921720,1.000623573,80,28,0
49.600000000,2.700000000,0.000000000,-7.500000000,-1.500000000,1.570796327,0.000000000,0.000000000,-7.500000000,-1.500000000,1.570796327,-8.498458423,0.000000887,0.001405814,1.801921720,1.000623573,80,28,0
