wall_time,wall_elapsed_s,sim_time,x,y,yaw
1787874993.475712,0.06859899800474523,59.8,-8.498197575636258,1.2851345826759897e-06,0.0016588037114027988
1787874995.7719488,2.3648351910014753,61.5,-8.487457547382208,2.3854464186742818e-05,0.002726337450995973
1787874995.9802146,2.573101501002384,61.7,-8.474860987690056,6.500651726777947e-05,0.004037665577754957
1787874996.1255667,2.7184527540011914,61.8,-8.459692289499028,0.00013427097199982438,0.005202089769259615
1787874996.1392045,2.732090811005037,61.8,-8.448039515294468,0.00019529753215392795,0.005232221544059276
1787874996.275462,2.868347772004199,61.9,-8.435559477173804,0.0002579920844021604,0.0045569905157249605
1787874996.3502293,2.9431157220024033,62.0,-8.422472733861449,0.00031180461600605546,0.0033052405411948247
1787874996.3640053,2.9568911860042135,62.0,-8.40900481929791,0.0003493805755682507,0.0019537531447589903
1787874996.5013433,3.0942293440020876,62.1,-8.395114915195714,0.0003687697424029159,0.00046405218422407253
1787874996.577742,3.170628261999809,62.1,-8.380895617847573,0.00036705768045596746,-0.0011434427302534648
1787874996.7153592,3.308246448999853,62.2,-8.366554443868791,0.0003415915095067157,-0.002827114594820413
1787874996.7942255,3.3871113950008294,62.3,-8.352190778408017,0.0002916351005898647,-0.004552946166648511
1787874996.8690155,3.461901503003901,62.4,-8.33755365061735,0.00021495030424265735,-0.006448760789076387
1787874996.883266,3.476151700000628,62.4,-8.322712053903434,0.00010756673760969368,-0.00861755251254947
1787874997.0192533,3.612139233002381,62.5,-8.307943554787903,-3.31674353800063e-05,-0.011135039936410083
1787874997.1564424,3.749328998004785,62.6,-8.293091740474097,-0.0002137732404214252,-0.013930471809818901
1787874997.1711795,3.764065968003706,62.6,-8.278108711956271,-0.0004398574557020367,-0.01711160914182403
1787874997.3080068,3.900892780002323,62.7,-8.263089871320467,-0.0007161829563282656,-0.02063679307694247
1787874997.3831017,3.9759878140030196,62.7,-8.248203663259577,-0.0010446114713086494,-0.024640469866397754
1787874997.5220077,4.114894397003809,62.9,-8.23324119580119,-0.0014384013990624692,-0.029256373669467328
1787874997.5972998,4.190185714003746,63.0,-8.218261912736283,-0.001904705688877315,-0.03431586323715777
1787874997.6722183,4.2651049950000015,63.0,-8.203476813591998,-0.002441622259938258,-0.0398104403883505
1787874997.7468076,4.339693795998755,63.0,-8.188831742219765,-0.0030569693847361345,-0.04591577673146659
1787874997.8864515,4.479337993005174,63.1,-8.17404684995878,-0.0037725305347628487,-0.05267116996983268
1787874997.9005473,4.493433273004484,63.2,-8.159313954527414,-0.004587844193449092,-0.05990212698290823
1787874997.9750576,4.567943922003906,63.2,-8.144660119326465,-0.005508355341780773,-0.06781102535467491
1787874998.0458405,4.638725886004977,63.3,-8.130082316652478,-0.006543847473249634,-0.07650963117980397
1787874998.1812606,4.774146945004759,63.4,-8.115533343685517,-0.007708947719239261,-0.08607256505773533
1787874998.3200214,4.912907816004008,63.5,-8.100971079059178,-0.009020366351927442,-0.09652986514089956
1787874998.3334064,4.926292250005645,63.5,-8.086406511192097,-0.010490382840168665,-0.10775622167228693
1787874998.4703522,5.063238511000236,63.6,-8.071820612395479,-0.012131339742283436,-0.11968593775510462
1787874998.5475812,5.140467850003915,63.7,-8.057180080520615,-0.013959644569060702,-0.1324058276055985
1787874998.6854882,5.278374710003845,63.8,-8.042513463236721,-0.01598407775027731,-0.14567128383368533
1787874998.699795,5.292681300001277,63.8,-8.027756159110796,-0.01822460024085844,-0.1595728869498771
1787874998.77453,5.367416366003454,63.8,-8.01288866891745,-0.020697188918260067,-0.1740949939659087
1787874998.9155867,5.50847369600524,63.9,-7.997889436552391,-0.02341919993910393,-0.18919887512184513
1787874999.0550728,5.647959393005294,64.0,-7.9828403048393,-0.026388028793579342,-0.20474617451584184
1787874999.131909,5.724794800000382,64.1,-7.967615155090303,-0.029641733588822536,-0.22076350128551814
1787874999.145301,5.738186842005234,64.2,-7.9523899617354665,-0.0331541989145124,-0.23728989590958266
1787874999.1573892,5.750274830999842,64.2,-7.937160909429842,-0.03693576158272183,-0.2542462704969229
1787874999.2311296,5.8240168140036985,64.2,-7.921923700191742,-0.04099811146953526,-0.27172829170048407
1787874999.3733811,5.966268668998964,64.3,-7.90672646565427,-0.045338310104132355,-0.28958540286880635
1787874999.5123003,6.105186878005043,64.4,-7.891582768127438,-0.049959697185359184,-0.3077809775767142
1787874999.6510465,6.243932495999616,64.5,-7.876482350829615,-0.054872425683544064,-0.32640193641090476
1787874999.7284853,6.321371921003447,64.6,-7.864228985578392,-0.05909425689105085,-0.34271582799594213
1787874999.741286,6.334171899005014,64.6,-7.853033859048095,-0.06313572677291365,-0.35228942035876276
1787874999.8777637,6.470650076000311,64.7,-7.841851911902163,-0.0672997934382265,-0.36458844649358413
1787874999.953877,6.546763741003815,64.7,-7.830732783123462,-0.07160739039779915,-0.378859526500164
1787875000.0350304,6.627916309000284,64.9,-7.819681858752195,-0.07607492506090992,-0.39390239117876624
1787875000.1761138,6.769000099004188,64.9,-7.808689851846872,-0.08071403822837504,-0.4092714960330437
1787875000.3172927,6.910178960999474,65.0,-7.7977314110932365,-0.08554018902574043,-0.424823634789422
1787875000.4552064,7.048092609999003,65.2,-7.786778318552642,-0.09057003582421495,-0.4405028639426877
1787875000.5923138,7.185200197003724,65.3,-7.775861734532517,-0.09579189972640277,-0.45625090574322213
1787875000.6687973,7.261683372002153,65.4,-7.764913432940415,-0.10124310523932487,-0.4720230168610065
1787875000.6824732,7.275359487000969,65.4,-7.753944195632072,-0.1069227589021767,-0.4877908248722537
1787875000.694228,7.28711409400421,65.4,-7.742928129342932,-0.11284923825385489,-0.5035235115681288
1787875000.7050657,7.297952075001376,65.4,-7.73188610860638,-0.11901595218421637,-0.5191723988293208
1787875000.7142184,7.307104368002911,65.4,-7.719984770398479,-0.12590930198106445,-0.5348221333701717
1787875000.8501847,7.443071647001489,65.5,-7.705329339553984,-0.13472127552183744,-0.5513364130586572
1787875000.9872088,7.58009515300364,65.6,-7.690363235983613,-0.14407119527664564,-0.5698730638592653
1787875001.123694,7.716580500004056,65.7,-7.675507807691885,-0.15374493084245672,-0.5888530244043864
1787875001.1367598,7.729645858002186,65.7,-7.660838921242763,-0.16369790388885203,-0.607653599986385
1787875001.2095547,7.802441136002017,65.7,-7.646359983410977,-0.17392120489177995,-0.6258941199078323
1787875001.3496554,7.942541689000791,65.8,-7.63206962327524,-0.18440279599906265,-0.6435269541994438
1787875001.4245064,8.017393234003976,65.9,-7.617964074468797,-0.1951269957436974,-0.6599872429323665
1787875001.4986603,8.091547213000013,65.9,-7.604034190911189,-0.20607458489523603,-0.6753578262471222
1787875001.5143085,8.107194347001496,66.0,-7.5902724152352965,-0.21723042842209644,-0.6899952320582219
1787875001.649769,8.242655437003123,66.1,-7.576673354034104,-0.22858163189912456,-0.7039578249956242
1787875001.7869785,8.379865252005402,66.2,-7.563232763574179,-0.2401171913127294,-0.7171820356412598
1787875001.8617725,8.454658728005597,66.2,-7.549943393985508,-0.2518235898132404,-0.7295951800822195
1787875001.9384017,8.531287910001993,66.3,-7.5367988150350875,-0.2636897927046728,-0.7413296456856245
1787875002.014024,8.606910086004063,66.4,-7.523792003803137,-0.27570441135923096,-0.7523212861559396
1787875002.088829,8.681715226004599,66.4,-7.510915932801813,-0.2878571366853093,-0.7627603916915119
1787875002.2256837,8.818570250004996,66.5,-7.498165660302703,-0.3001402497752049,-0.7725471970384218
1787875002.3045673,8.89745360300003,66.6,-7.485534124858689,-0.31254361389631985,-0.7817467598779518
1787875002.378235,8.971121216003667,66.6,-7.473015451539324,-0.3250591993256236,-0.7904232228491938
1787875002.3918157,8.984701408000547,66.7,-7.4606037046042575,-0.33767880360505514,-0.7985181818982002
1787875002.529532,9.122418561004451,66.7,-7.4482926802305975,-0.3503946077660214,-0.8060443130115152
1787875002.6666474,9.259533552001812,66.9,-7.436076604545059,-0.36320020382780555,-0.8131678286859024
1787875002.8041542,9.397040435003873,67.0,-7.423950715848362,-0.37608975064501204,-0.8198556284106093
1787875002.8180773,9.410963854003057,67.0,-7.411909488132325,-0.389057318930143,-0.8261699109992967
1787875002.8922334,9.485119924000173,67.0,-7.3999490200978455,-0.40209853364001796,-0.8321535045135691
1787875002.9682724,9.561158349002653,67.1,-7.388065523044378,-0.4152090871566012,-0.8377815225638693
1787875003.1065886,9.699475765002717,67.2,-7.376254817481546,-0.4283845235623415,-0.8430852427066802
1787875003.2448714,9.837758075998863,67.3,-7.364512685465418,-0.44162049597131636,-0.8480869914223552
1787875003.2585742,9.851460327001405,67.3,-7.352835694611658,-0.4549131587678391,-0.852812133609221
1787875003.3359694,9.928855290003412,67.4,-7.341220779825478,-0.4682593568895811,-0.8572959603653277
1787875003.4103699,10.003256374999182,67.4,-7.329665093187179,-0.48165598007864574,-0.8615418900727129
1787875003.4860823,10.078968636000354,67.5,-7.318165724185103,-0.49510009170503505,-0.865611271360607
1787875003.6231873,10.216073770003277,67.6,-7.3067202713764745,-0.5085895645319625,-0.8694666427568001
1787875003.7602112,10.353097838000394,67.7,-7.295326108359287,-0.5221214300900586,-0.8730562698737165
1787875003.7740943,10.366980042999785,67.7,-7.28397970102902,-0.5356922511585167,-0.8763571097104764
1787875003.8486745,10.441560399005539,67.8,-7.27267685908806,-0.5492983054664063,-0.8793771475410214
1787875003.9227383,10.515624905005097,67.8,-7.261414181309218,-0.5629370625662667,-0.8821870121530699
1787875004.05932,10.652206446000491,67.9,-7.250189108122263,-0.5766067431430149,-0.8848196396452987
1787875004.1344295,10.727315545998863,68.0,-7.238998418971205,-0.590304102647987,-0.8870955454141007
1787875004.2707274,10.863613295005052,68.1,-7.227837431378405,-0.6040249513072341,-0.8890378043105918
1787875004.4103708,11.003256803000113,68.2,-7.216702027119239,-0.6177657247225798,-0.8907049847085456
1787875004.4251564,11.018042228002741,68.2,-7.205587801997873,-0.6315221952278953,-0.8919234813691179
1787875004.5013835,11.094269977002114,68.3,-7.1944886941241295,-0.6452890807523112,-0.8926860561595592
1787875004.576321,11.169206771002791,68.3,-7.183398238256452,-0.6590615471337289,-0.8930051029874977
1787875004.651543,11.244428606005386,68.4,-7.172310453162017,-0.672834756672797,-0.8928659117383403
1787875004.7893913,11.38227807200019,68.5,-7.161218786303791,-0.6866033375923766,-0.8922877906708
1787875004.9261599,11.519046143002925,68.6,-7.15011766149887,-0.7003627225941316,-0.8912745397964265
1787875004.9397454,11.532631851005135,68.6,-7.139000539045266,-0.7141074161976854,-0.8897300379110276
1787875005.0156958,11.608582680004474,68.7,-7.127859982335517,-0.7278316087356431,-0.887645613081811
1787875005.090935,11.683821437000006,68.7,-7.116688347349164,-0.7415293739487945,-0.8850280062024963
1787875005.2284756,11.821362096001394,68.8,-7.105479122893091,-0.7551958458836617,-0.8820359245159044
1787875005.303931,11.896817398002895,68.9,-7.094227337816528,-0.7688263541977932,-0.878622827392521
1787875005.3789635,11.971850015004748,68.9,-7.082927220898103,-0.7824153051330882,-0.874779225993022
1787875005.4566865,12.049572756004636,69.0,-7.071573356131472,-0.7959579519979244,-0.8705119774348652
1787875005.5932636,12.186150004003139,69.1,-7.060160656275907,-0.8094496316177346,-0.8659062959330793
1787875005.730357,12.3232434859965,69.2,-7.048684865755184,-0.8228868491833996,-0.8610343868190894
1787875005.8674386,12.460325235006167,69.3,-7.037142936492835,-0.8362666554797101,-0.8559572572416505
1787875006.005076,12.597962832005578,69.4,-7.025532036141075,-0.8495855658137659,-0.8505558293445495
1787875006.081268,12.674154081003508,69.5,-7.013848446518704,-0.86283964788322,-0.8448922937103752
1787875006.0943344,12.687220424006227,69.5,-7.002089395463518,-0.8760262823351721,-0.839069154102954
1787875006.1057582,12.698644499003422,69.5,-6.990253178253063,-0.8891435079063564,-0.8331023689139264
1787875006.1783755,12.771261415007757,69.5,-6.978338169182281,-0.9021892813881218,-0.8269985640573716
1787875006.3159862,12.908872068001074,69.6,-6.966342774557043,-0.915161125878578,-0.8207520929495721
1787875006.455574,13.048460025005625,69.7,-6.954273544552872,-0.9280499388387032,-0.8144227935794112
1787875006.4691281,13.062014160997933,69.8,-6.942212517002504,-0.9407674318233116,-0.8080270725650022
1787875006.5427673,13.135654056008207,69.8,-6.930152067074498,-0.9533215358788467,-0.8015611271799521
1787875006.61832,13.211205699000857,69.9,-6.918087684345621,-0.9657172365928247,-0.7950360451986147
1787875006.7547343,13.347620547996485,70.0,-6.906048984049397,-0.9779256614506104,-0.7884477787559427
1787875006.891856,13.48474269300641,70.1,-6.894019558062248,-0.9899652664842641,-0.78179743254919
1787875006.9061666,13.499052722007036,70.1,-6.8819615485421,-1.0018739821647509,-0.7751135875431938
1787875007.042446,13.635332325997297,70.2,-6.869930304516432,-1.0135964542666467,-0.7683913767628507
1787875007.1183348,13.71122108399868,70.2,-6.8579340340875765,-1.0251290557227146,-0.7616182975574948
1787875007.1312804,13.724166297004558,70.3,-6.8459641384323255,-1.0364825732842242,-0.7547990770118789
1787875007.2677355,13.860622349006007,70.3,-6.833969322462292,-1.0477043600670242,-0.7479515161989851
1787875007.343791,13.936677660996793,70.4,-6.822027360198386,-1.0587225326017153,-0.7410793243497152
1787875007.4898603,14.082746447005775,70.5,-6.810127267053365,-1.0695525797833634,-0.7341767338015086
1787875007.5666494,14.159535501996288,70.6,-6.798257931975757,-1.080206962945031,-0.7272510256174909
1787875007.641527,14.234413473997847,70.6,-6.786396403672417,-1.0907054443408173,-0.7203142404692695
1787875007.779029,14.371916005999083,70.7,-6.77451197928112,-1.1010773313408901,-0.7133827773551499
