sim_stamp_s,wall_monotonic_s,linear_x_mps,linear_y_mps,angular_z_rps
1787875891.624774218,66421.914363145,0.033141792,0.000000000,0.010393692
1787875891.724516153,66422.014101942,0.070675112,0.000000000,0.026864490
1787875891.824584007,66422.114182606,0.109468617,0.000000000,0.040820688
1787875891.924615383,66422.214206455,0.141359255,0.000000000,0.048961192
1787875892.024475336,66422.314066576,0.166286319,0.000000000,0.051119424
1787875892.124432087,66422.414035251,0.184951499,0.000000000,0.051688764
1787875892.224511385,66422.514093847,0.199111447,0.000000000,0.054050647
1787875892.324504852,66422.614087417,0.209931701,0.000000000,0.059415121
1787875892.424617290,66422.714207096,0.218541622,0.000000000,0.066795662
1787875892.524380684,66422.813953995,0.225494027,0.000000000,0.074872121
1787875892.624848366,66422.914438247,0.231857315,0.000000000,0.099695578
1787875892.724562645,66423.014167935,0.238339990,0.000000000,0.104298972
1787875892.824562788,66423.114150412,0.243470952,0.000000000,0.107923359
1787875892.924468040,66423.214052087,0.246297777,0.000000000,0.108285241
1787875893.024461746,66423.314064146,0.248015329,0.000000000,0.110362127
1787875893.124963045,66423.414557249,0.249387473,0.000000000,0.112295151
1787875893.224503994,66423.514094534,0.250497609,0.000000000,0.113296486
1787875893.324618816,66423.614201898,0.251512855,0.000000000,0.112748586
1787875893.424465895,66423.714048065,0.252846628,0.000000000,0.128078207
1787875893.524501324,66423.814087389,0.255410433,0.000000000,0.124007441
1787875893.624506712,66423.914105394,0.257775098,0.000000000,0.118656635
1787875893.724589586,66424.014179206,0.258560747,0.000000000,0.128301010
1787875893.824582338,66424.114176322,0.260000000,0.000000000,0.122899517
1787875893.924633503,66424.214240604,0.260000000,0.000000000,0.134609818
1787875894.024448395,66424.314032960,0.260000000,0.000000000,0.144769996
1787875894.124577761,66424.414192645,0.260000000,0.000000000,0.156177342
1787875894.224544287,66424.514126449,0.260000000,0.000000000,0.148343444
1787875894.324561834,66424.614159200,0.260000000,0.000000000,0.137823597
1787875894.424517393,66424.714118140,0.260000000,0.000000000,0.145398527
1787875894.524593592,66424.814176808,0.260000000,0.000000000,0.145398527
1787875894.624645472,66424.914223358,0.260000000,0.000000000,0.131374568
1787875894.724508524,66425.014093792,0.260000000,0.000000000,0.140054062
1787875894.824648142,66425.114233800,0.260000000,0.000000000,0.150378764
1787875894.924604177,66425.214210577,0.260000000,0.000000000,0.147733420
1787875895.024876356,66425.314482128,0.260000000,0.000000000,0.139917731
1787875895.124701262,66425.414301075,0.260000000,0.000000000,0.132541656
1787875895.224732876,66425.514323724,0.260000000,0.000000000,0.141937777
1787875895.324577570,66425.614177727,0.255187541,0.000000000,0.154849797
1787875895.424647331,66425.714249016,0.250421047,0.000000000,0.158086389
1787875895.524490356,66425.814076852,0.249410033,0.000000000,0.167014316
1787875895.624667168,66425.914265831,0.243108407,0.000000000,0.177288696
1787875895.724728823,66426.014333268,0.236368492,0.000000000,0.190868273
1787875895.824567080,66426.114161267,0.230164841,0.000000000,0.201252058
1787875895.924577951,66426.214174307,0.223785520,0.000000000,0.208408996
1787875896.024801731,66426.314407937,0.220680892,0.000000000,0.212705597
1787875896.124422073,66426.414010215,0.218486294,0.000000000,0.217163861
1787875896.224659681,66426.514239398,0.218486294,0.000000000,0.217163861
1787875896.324536324,66426.614137723,0.217015982,0.000000000,0.227848992
1787875896.424632072,66426.714216987,0.216900095,0.000000000,0.238475248
1787875896.524549007,66426.814120428,0.218959838,0.000000000,0.254887223
1787875896.624566078,66426.914139771,0.221549243,0.000000000,0.272280395
1787875896.724693775,66427.014298540,0.225602582,0.000000000,0.290324539
1787875896.824655533,66427.114257095,0.232952669,0.000000000,0.309623718
1787875896.924652338,66427.214235417,0.232952669,0.000000000,0.309623718
1787875897.024797916,66427.314380700,0.247702911,0.000000000,0.323540926
1787875897.124664545,66427.414269579,0.256447017,0.000000000,0.319755375
1787875897.224756241,66427.514349290,0.260000000,0.000000000,0.319168925
1787875897.324622631,66427.614221005,0.260000000,0.000000000,0.313034892
1787875897.424595594,66427.714200767,0.260000000,0.000000000,0.299563587
1787875897.524653196,66427.814261619,0.260000000,0.000000000,0.281267226
1787875897.624884129,66427.914469387,0.260000000,0.000000000,0.263525039
1787875897.724799156,66428.014400470,0.260000000,0.000000000,0.243290856
1787875897.824568033,66428.114152985,0.260000000,0.000000000,0.221788153
1787875897.924743414,66428.214330209,0.260000000,0.000000000,0.201020524
1787875898.024620056,66428.314206024,0.260000000,0.000000000,0.180796772
1787875898.124635220,66428.414235879,0.260000000,0.000000000,0.163243666
1787875898.224453211,66428.514034155,0.260000000,0.000000000,0.146223515
1787875898.324699402,66428.614293694,0.260000000,0.000000000,0.131115139
1787875898.424685717,66428.714281647,0.260000000,0.000000000,0.116551839
1787875898.524578333,66428.814174138,0.260000000,0.000000000,0.102729864
1787875898.624770641,66428.914367111,0.260000000,0.000000000,0.085149691
1787875898.724589586,66429.014159815,0.260000000,0.000000000,0.073430851
1787875898.824793100,66429.114378985,0.260000000,0.000000000,0.065124676
1787875898.924676418,66429.214273819,0.260000000,0.000000000,0.058331735
