sim_stamp_s,wall_monotonic_s,linear_x_mps,linear_y_mps,angular_z_rps
1787883662.138502836,74192.428116039,0.033141963,0.000000000,0.010393745
1787883662.238250732,74192.527856351,0.070683032,0.000000000,0.026863920
1787883662.338320971,74192.627903132,0.109491907,0.000000000,0.040815741
1787883662.438088894,74192.727676701,0.141375616,0.000000000,0.048959479
1787883662.538873196,74192.828484091,0.166302875,0.000000000,0.051111721
1787883662.638529778,74192.928142596,0.184963137,0.000000000,0.051679105
1787883662.738382816,74193.027988650,0.199119911,0.000000000,0.054039512
1787883662.838140965,74193.127731302,0.209949434,0.000000000,0.059394002
1787883662.938297749,74193.227891130,0.218570411,0.000000000,0.066763788
1787883663.038177013,74193.327782839,0.225537196,0.000000000,0.074825950
1787883663.138139486,74193.427726362,0.231198892,0.000000000,0.082600914
1787883663.238225698,74193.527826623,0.236538112,0.000000000,0.106529132
1787883663.338269472,74193.627858655,0.242061615,0.000000000,0.110198498
1787883663.438227177,74193.727843242,0.246501997,0.000000000,0.112782367
1787883663.538135767,74193.827726415,0.248789459,0.000000000,0.112072706
1787883663.638199329,74193.927781533,0.250097185,0.000000000,0.112967737
1787883663.738089800,74194.027678198,0.250991106,0.000000000,0.113766700
1787883663.838387728,74194.127993241,0.251795948,0.000000000,0.113516450
1787883663.938417435,74194.228044047,0.252970159,0.000000000,0.128948942
1787883664.038304567,74194.327911504,0.255389303,0.000000000,0.124922603
1787883664.138125658,74194.427726488,0.257682920,0.000000000,0.119366899
1787883664.238416910,74194.528046832,0.258486062,0.000000000,0.128738180
1787883664.338209391,74194.627825373,0.260000000,0.000000000,0.122922495
1787883664.438316822,74194.727925172,0.260000000,0.000000000,0.116987310
1787883664.538437128,74194.828052277,0.260000000,0.000000000,0.127136305
1787883664.638247013,74194.927834936,0.260000000,0.000000000,0.121496662
1787883664.738445044,74195.028082783,0.260000000,0.000000000,0.115446351
1787883664.838262796,74195.127853044,0.260000000,0.000000000,0.107700638
1787883664.938270807,74195.227855106,0.260000000,0.000000000,0.102432705
1787883665.038326979,74195.327923645,0.260000000,0.000000000,0.117153890
1787883665.138312340,74195.427905059,0.260000000,0.000000000,0.114046939
1787883665.238211155,74195.527800854,0.260000000,0.000000000,0.128084689
1787883665.338222265,74195.627822544,0.260000000,0.000000000,0.121257789
1787883665.438285112,74195.727872141,0.260000000,0.000000000,0.114261918
1787883665.538362265,74195.827975368,0.260000000,0.000000000,0.104862504
1787883665.638190746,74195.927871125,0.260000000,0.000000000,0.097828269
1787883665.738174200,74196.027749742,0.260000000,0.000000000,0.091857791
1787883665.838036299,74196.127608790,0.260000000,0.000000000,0.086357601
1787883665.938438654,74196.228072491,0.260000000,0.000000000,0.081904188
1787883666.038309097,74196.327896623,0.257895976,0.000000000,0.078411452
1787883666.138336182,74196.427941216,0.255321205,0.000000000,0.075040430
1787883666.238236427,74196.527834820,0.252723277,0.000000000,0.072510466
1787883666.338320732,74196.627904263,0.248120978,0.000000000,0.071783498
1787883666.438026667,74196.727600464,0.242846608,0.000000000,0.072119899
1787883666.538084745,74196.827660769,0.237909541,0.000000000,0.073000558
1787883666.638289452,74196.927874054,0.233834967,0.000000000,0.073832408
1787883666.738291740,74197.027903966,0.229473874,0.000000000,0.074991211
1787883666.838443756,74197.128062147,0.223904029,0.000000000,0.076297328
1787883666.938178778,74197.227764239,0.219610736,0.000000000,0.076370716
1787883667.038400173,74197.327995460,0.215386629,0.000000000,0.076698914
1787883667.138189793,74197.427776683,0.211862206,0.000000000,0.077246808
1787883667.238282919,74197.527865535,0.207994118,0.000000000,0.078381561
1787883667.338386774,74197.627970257,0.205029085,0.000000000,0.078982972
1787883667.438074350,74197.727646404,0.202337712,0.000000000,0.080191970
1787883667.537992001,74197.827561827,0.198464379,0.000000000,0.082989313
1787883667.638123035,74197.927705209,0.193486243,0.000000000,0.087876521
1787883667.738216639,74198.027807961,0.190639466,0.000000000,0.093776666
1787883667.838092566,74198.127695323,0.187746435,0.000000000,0.101314656
1787883667.938219547,74198.227810377,0.185515687,0.000000000,0.109813668
1787883668.038076878,74198.327658296,0.181992561,0.000000000,0.122214362
1787883668.137906075,74198.427451224,0.174909636,0.000000000,0.131748900
1787883668.238208055,74198.527786708,0.170004591,0.000000000,0.136854216
1787883668.338344336,74198.627919189,0.166220382,0.000000000,0.136363924
1787883668.438148022,74198.727735749,0.161745131,0.000000000,0.132615834
1787883668.538075209,74198.827662919,0.157436222,0.000000000,0.128360748
1787883668.638196468,74198.927795554,0.153726220,0.000000000,0.124398790
1787883668.738153458,74199.027728759,0.150516793,0.000000000,0.119874142
1787883668.838045835,74199.127628465,0.148804337,0.000000000,0.115307055
1787883668.938040257,74199.227622464,0.145715922,0.000000000,0.109652996
1787883669.038285732,74199.327873588,0.142538369,0.000000000,0.105358057
1787883669.138110161,74199.427679135,0.138658822,0.000000000,0.100354634
1787883669.238171339,74199.527753706,0.134359509,0.000000000,0.097228378
1787883669.338035822,74199.627608026,0.130283952,0.000000000,0.095198087
1787883669.438136339,74199.727706633,0.126209199,0.000000000,0.093797453
1787883669.538351297,74199.827920686,0.122417040,0.000000000,0.092620194
1787883669.638456345,74199.928052884,0.118489370,0.000000000,0.091320112
1787883669.738156796,74200.027747164,0.115303971,0.000000000,0.090437435
1787883669.838401079,74200.127999682,0.111810267,0.000000000,0.087808408
1787883669.938249111,74200.227837131,0.108806334,0.000000000,0.084664300
1787883670.038326740,74200.327906958,0.106062986,0.000000000,0.081527114
1787883670.138237000,74200.427834583,0.103821211,0.000000000,0.079007901
1787883670.238386154,74200.527982064,0.100893080,0.000000000,0.076991700
1787883670.338044882,74200.627618705,0.097772159,0.000000000,0.075622842
1787883670.438255548,74200.727843834,0.094957419,0.000000000,0.076504245
1787883670.538138866,74200.827707109,0.092061535,0.000000000,0.078485616
1787883670.638365507,74200.927947329,0.089547507,0.000000000,0.081046864
1787883670.738206387,74201.027792080,0.087075777,0.000000000,0.085138880
1787883670.838303089,74201.127879660,0.084296495,0.000000000,0.089876764
1787883670.938205719,74201.227786443,0.081564218,0.000000000,0.094479501
1787883671.038171530,74201.327749348,0.079287164,0.000000000,0.097863100
1787883671.138085604,74201.427666598,0.077219106,0.000000000,0.101048246
1787883671.238420486,74201.528028967,0.075022474,0.000000000,0.104260743
1787883671.338304996,74201.627902778,0.069196075,0.000000000,0.104587182
1787883671.438528776,74201.728114519,0.065370448,0.000000000,0.111383408
1787883671.538383007,74201.827976720,0.061245155,0.000000000,0.114369363
1787883671.638084650,74201.927655383,0.057320811,0.000000000,0.115686648
1787883671.738190889,74202.027760364,0.053659126,0.000000000,0.115768239
1787883671.838275433,74202.127844826,0.050930012,0.000000000,0.114767991
1787883671.938297033,74202.227867092,0.048542868,0.000000000,0.113881722
1787883672.038072824,74202.327649349,0.046344496,0.000000000,0.114367224
1787883672.138333559,74202.427908875,0.044998523,0.000000000,0.116129778
1787883672.238238096,74202.527832208,0.043542489,0.000000000,0.118486337
1787883672.338127851,74202.627711848,0.041545942,0.000000000,0.120213501
1787883672.438094854,74202.727679850,0.039550941,0.000000000,0.120812863
1787883672.538268566,74202.827856892,0.038028080,0.000000000,0.120214485
1787883672.638469696,74202.928079142,0.036157794,0.000000000,0.119389951
1787883672.738560677,74203.028148350,0.034528069,0.000000000,0.118622676
1787883672.838370323,74203.127962055,0.033118192,0.000000000,0.118301466
1787883672.938399315,74203.228035939,0.031763118,0.000000000,0.118465550
1787883673.038269043,74203.327849650,0.030227205,0.000000000,0.118974425
1787883673.138481617,74203.428107249,0.028561544,0.000000000,0.120089799
1787883673.238223314,74203.527814366,0.026883496,0.000000000,0.121340193
1787883673.338238955,74203.627817357,0.025510596,0.000000000,0.123640977
1787883673.438236713,74203.727809364,0.024369659,0.000000000,0.125455722
1787883673.538108349,74203.827677539,0.023096489,0.000000000,0.126171127
1787883673.638213873,74203.927784285,0.021759976,0.000000000,0.126785368
1787883673.738357067,74204.027930446,0.020715510,0.000000000,0.127225965
1787883673.838104010,74204.127683621,0.020074056,0.000000000,0.128746584
1787883673.938219070,74204.227819130,0.019267822,0.000000000,0.129390925
1787883674.038378000,74204.327958935,0.018907895,0.000000000,0.130203545
1787883674.138372183,74204.427953543,0.018282777,0.000000000,0.129860029
1787883674.238362074,74204.527940596,0.017610632,0.000000000,0.129380122
1787883674.338550329,74204.628131182,0.017024167,0.000000000,0.128684372
1787883674.438466072,74204.728076303,0.016441206,0.000000000,0.127832830
1787883674.538469315,74204.828101084,0.015776316,0.000000000,0.127816394
1787883674.638473034,74204.928087015,0.015198135,0.000000000,0.128120884
1787883674.738318920,74205.027905094,0.014946820,0.000000000,0.129484937
1787883674.838512182,74205.128090532,0.015059273,0.000000000,0.132088944
1787883674.938204765,74205.227788218,0.015133100,0.000000000,0.134361997
1787883675.038273335,74205.327849395,0.015299262,0.000000000,0.136702180
1787883675.138224840,74205.427799714,0.015088911,0.000000000,0.138628155
1787883675.238153696,74205.527716155,0.014814914,0.000000000,0.141274944
1787883675.338255644,74205.627840796,0.014706381,0.000000000,0.143984333
1787883675.438235998,74205.727815170,0.014905935,0.000000000,0.146596521
1787883675.538447380,74205.828076719,0.015483540,0.000000000,0.150292948
1787883675.638418913,74205.928045912,0.016037954,0.000000000,0.156008765
1787883675.738459349,74206.028077436,0.016592277,0.000000000,0.163111672
1787883675.838308096,74206.127904788,0.017539371,0.000000000,0.169062823
1787883675.938588858,74206.228187805,0.018819736,0.000000000,0.174834937
1787883676.038474560,74206.328094608,0.020730913,0.000000000,0.180377811
1787883676.138565063,74206.428167157,0.022541624,0.000000000,0.185325027
1787883676.238317013,74206.527902731,0.026605424,0.000000000,0.192582309
1787883676.338383436,74206.627976647,0.028649911,0.000000000,0.205346525
1787883676.438848019,74206.728449363,0.028728392,0.000000000,0.215703562
1787883676.538450241,74206.828086399,0.030856296,0.000000000,0.224014908
1787883676.638445139,74206.928072992,0.035446540,0.000000000,0.229684591
1787883676.738432169,74207.028045076,0.037981126,0.000000000,0.229177848
1787883676.838480234,74207.128104772,0.041384783,0.000000000,0.228140742
1787883676.938583374,74207.228170711,0.047950238,0.000000000,0.220424309
1787883677.038544893,74207.328132584,0.055716358,0.000000000,0.212024778
1787883677.138512850,74207.428103902,0.065492712,0.000000000,0.202255458
1787883677.238392353,74207.527999785,0.072268799,0.000000000,0.193598136
1787883677.338391066,74207.627980576,0.076179057,0.000000000,0.185631514
1787883677.438435078,74207.728079597,0.079977892,0.000000000,0.178357184
1787883677.538434267,74207.828071240,0.086776175,0.000000000,0.166914567
1787883677.638407469,74207.928037587,0.092399023,0.000000000,0.153023288
1787883677.738456249,74208.028075698,0.101012915,0.000000000,0.130544171
1787883677.838324308,74208.127911492,0.111710466,0.000000000,0.099057741
1787883677.938657999,74208.228237015,0.121362709,0.000000000,0.068052322
1787883678.038448334,74208.328069253,0.130532131,0.000000000,0.033549536
1787883678.138476610,74208.428110206,0.139389217,0.000000000,0.006567239
1787883678.238464594,74208.528087315,0.149976611,0.000000000,-0.016526341
1787883678.338376760,74208.627979868,0.159444928,0.000000000,-0.036592435
1787883678.438652992,74208.728261026,0.163542137,0.000000000,-0.049467348
1787883678.538578272,74208.828167737,0.156286240,0.000000000,-0.054834031
1787883678.638535738,74208.928137055,0.145015866,0.000000000,-0.058531176
