sim_stamp_s,wall_monotonic_s,linear_x_mps,linear_y_mps,angular_z_rps
1787865129.592244148,55659.881846940,0.033141896,0.000000000,0.010393711
1787865129.692133427,55659.981721938,0.070682891,0.000000000,0.026863886
1787865129.791958094,55660.081543975,0.109491579,0.000000000,0.040815778
1787865129.891828537,55660.181405574,0.141378880,0.000000000,0.048957620
1787865129.992230654,55660.281820965,0.166305259,0.000000000,0.051111147
1787865130.092053652,55660.381652556,0.184964135,0.000000000,0.051680002
1787865130.191931486,55660.481513135,0.199121013,0.000000000,0.054040264
1787865130.291927814,55660.581507940,0.209951088,0.000000000,0.059394080
1787865130.392064333,55660.681640768,0.218565971,0.000000000,0.066770077
1787865130.491775990,55660.781352880,0.225523204,0.000000000,0.074841961
1787865130.592030764,55660.881632020,0.231903300,0.000000000,0.099645056
1787865130.692023754,55660.981615659,0.239402696,0.000000000,0.120631233
1787865130.791880608,55661.081484078,0.246215701,0.000000000,0.123194784
1787865130.891932726,55661.181520344,0.250569105,0.000000000,0.121458307
1787865130.991880655,55661.281467207,0.252313972,0.000000000,0.119223833
1787865131.091848850,55661.381444469,0.253060460,0.000000000,0.119153589
1787865131.191991329,55661.481589410,0.253671288,0.000000000,0.119045399
1787865131.292000055,55661.581579638,0.254318684,0.000000000,0.117761292
1787865131.392044544,55661.681627007,0.255095810,0.000000000,0.115034580
1787865131.491832256,55661.781424456,0.255856127,0.000000000,0.111427546
1787865131.592013121,55661.881591759,0.256506264,0.000000000,0.107523993
1787865131.691750050,55661.981327969,0.257204235,0.000000000,0.103588507
1787865131.791781664,55662.081369548,0.257685781,0.000000000,0.100120179
1787865131.891870737,55662.181457864,0.257966161,0.000000000,0.097176604
1787865131.992056847,55662.281636131,0.258337885,0.000000000,0.094408408
1787865132.092017412,55662.381598891,0.258556962,0.000000000,0.092037857
1787865132.192033052,55662.481621340,0.257826358,0.000000000,0.108007386
1787865132.292252064,55662.581836809,0.259633780,0.000000000,0.105294004
1787865132.391830683,55662.681421484,0.260000000,0.000000000,0.101704083
1787865132.491814375,55662.781403129,0.260000000,0.000000000,0.114491545
1787865132.591869593,55662.881440974,0.260000000,0.000000000,0.111279592
1787865132.691848993,55662.981419383,0.260000000,0.000000000,0.125762984
1787865132.791837454,55663.081411352,0.260000000,0.000000000,0.119194224
1787865132.891868591,55663.181438331,0.260000000,0.000000000,0.112350442
1787865132.992002726,55663.281572845,0.260000000,0.000000000,0.103381269
1787865133.091940403,55663.381529682,0.260000000,0.000000000,0.096352652
1787865133.192008972,55663.481606949,0.260000000,0.000000000,0.090437278
1787865133.291911840,55663.581503668,0.260000000,0.000000000,0.085186921
1787865133.391870022,55663.681453050,0.258533597,0.000000000,0.080996707
1787865133.492115259,55663.781696149,0.256494820,0.000000000,0.077523574
1787865133.591894627,55663.881466836,0.254004121,0.000000000,0.073879160
1787865133.692081213,55663.981683500,0.250782549,0.000000000,0.071346782
