wall_time,wall_elapsed_s,sim_time,x,y,yaw
1787876558.4997492,0.06892190399230458,58.3,-8.498234695265761,1.1411069452853775e-06,0.00162273780228896
1787876560.9354196,2.504591321994667,60.3,-8.485118505063049,2.9861574108915187e-05,0.002954598733480462
1787876560.953038,2.5222092519979924,60.3,-8.472843508528806,7.349264892071462e-05,0.004408341936896721
1787876560.9681787,2.537349672988057,60.3,-8.457518303742884,0.00015017046496501295,0.005466829653278308
1787876561.1038857,2.673057409992907,60.4,-8.445454754163912,0.00021528803324085202,0.005185099089038393
1787876561.2419415,2.8111130429897457,60.5,-8.432901820035092,0.0002762901450922358,0.004343620091252607
1787876561.318114,2.887285286997212,60.6,-8.419764288957918,0.0003277017565543972,0.00310498721658088
1787876561.4544775,3.0236490849929396,60.6,-8.406372225898204,0.00036257427637177627,0.0017452549474970753
1787876561.5921247,3.161296456994023,60.7,-8.392352650993983,0.000379242311463154,0.00023925655605344426
1787876561.7296805,3.298852263993467,60.9,-8.37817790982135,0.0003739649723255393,-0.0013706997422678038
1787876561.8694968,3.4386686719954014,61.0,-8.36383577986561,0.00034535232732265476,-0.0030506271767625644
1787876562.0063891,3.575560956989648,61.1,-8.34938119738977,0.0002919568318300613,-0.004809653102786961
1787876562.1440995,3.7132714689942077,61.2,-8.33476597496099,0.00021127515246623302,-0.006766170843391476
1787876562.2825098,3.8516817419877043,61.3,-8.319938100149843,9.921378680450404e-05,-0.008922641918996456
1787876562.352378,3.9215496059914585,61.4,-8.30516290708488,-4.5892402733618346e-05,-0.011393465968753111
1787876562.3667214,3.93589254199469,61.4,-8.29049839602334,-0.00022845177159094935,-0.014349756748642861
1787876562.3783557,3.9475269819959067,61.4,-8.275656945679412,-0.00046043163202418675,-0.01791843493015247
1787876562.3883097,3.957481087985798,61.4,-8.260828173495263,-0.0007476924358230143,-0.021965384271585234
1787876562.3975751,3.9667463449877687,61.4,-8.24597124830424,-0.0010994244044307514,-0.026677072497954635
1787876562.405422,3.9745932679943508,61.4,-8.230976911390583,-0.0015289482782787536,-0.03208813981331764
1787876562.4128346,3.982005614991067,61.4,-8.215921712503782,-0.002045011104887699,-0.03807198309537044
1787876562.4194458,3.988616894988809,61.5,-8.201052771390332,-0.002645802506387403,-0.04450716791877951
1787876562.4931526,4.062323873993591,61.5,-8.186368635918887,-0.003337052041992077,-0.05155084011983207
1787876562.5686724,4.13784396299161,61.5,-8.171638238824693,-0.004137726844011643,-0.059070131839483085
1787876562.706317,4.275488597995718,61.6,-8.156851699174402,-0.005055239605028371,-0.06711417352238562
1787876562.8446286,4.413800465990789,61.7,-8.142129108254554,-0.006090893155440671,-0.07581792287574654
1787876562.9216435,4.490815532990382,61.8,-8.12746314724878,-0.007254739887050181,-0.08525250273459388
1787876563.05975,4.628921668991097,61.9,-8.112835404340835,-0.008558744519813784,-0.09540642169885705
1787876563.1991296,4.768301527990843,62.0,-8.098182892189088,-0.010018138174145283,-0.10615088224374951
1787876563.2748835,4.8440551149979,62.1,-8.08352231202791,-0.01164049561562133,-0.11742960370027551
1787876563.4122097,4.981382141995709,62.2,-8.068763239699754,-0.01344675316012091,-0.1296210990217435
1787876563.5503855,5.119557040990912,62.3,-8.053980910001076,-0.015443078079682693,-0.14248417098618277
1787876563.5663943,5.135565606993623,62.4,-8.039115940713259,-0.017649297067001343,-0.15601222785465008
1787876563.578032,5.147203277985682,62.4,-8.024147568288639,-0.020082019785299596,-0.17018925719583172
1787876563.5890932,5.158264356985455,62.4,-8.009138490248393,-0.022743432084602697,-0.18492983559367204
1787876563.724669,5.293841345992405,62.4,-7.994054529505268,-0.02565052440541495,-0.20010173701370307
1787876563.8629653,5.432136842995533,62.6,-7.978850667491926,-0.028823305321914666,-0.2157662542985428
1787876564.0034904,5.572662331993342,62.7,-7.963548080697455,-0.03227047220247208,-0.23189570383154723
1787876564.0801713,5.649342526987311,62.8,-7.948280265517983,-0.0359718471600818,-0.2483654037770421
1787876564.0936055,5.662776887998916,62.8,-7.933037946261513,-0.03993665992753271,-0.26528027948973487
1787876564.1049943,5.674165662989253,62.8,-7.917833732678636,-0.044170100100388306,-0.2826676836004052
1787876564.2414382,5.81060976999288,62.9,-7.902708310234039,-0.04866869506536269,-0.3004522832651461
1787876564.3770747,5.946245727987844,63.0,-7.887617995428501,-0.05345386961363798,-0.31869217960755114
1787876564.4524126,6.021584305999568,63.1,-7.872588927990688,-0.0585257898248449,-0.3373735049820855
1787876564.5889695,6.158141510997666,63.1,-7.861557978398836,-0.06245963160516425,-0.3506086877500422
1787876564.6032736,6.172445072996197,63.2,-7.850383197351342,-0.0665898175785468,-0.36046195143997406
1787876564.6148021,6.1839738709968515,63.2,-7.83920954555346,-0.07085924365253478,-0.373536223839126
1787876564.7510874,6.320259154992527,63.3,-7.8281319289735665,-0.07526581740733235,-0.3879302573153816
1787876564.890362,6.4595337599894265,63.4,-7.817154440000659,-0.07981991933142876,-0.402935038619688
1787876564.9666243,6.535795790987322,63.5,-7.806243472637072,-0.08454171658685426,-0.41828121087930636
1787876564.9809084,6.550080364992027,63.5,-7.795321104065823,-0.0894702542930682,-0.4338106983400084
1787876565.0539238,6.623096238996368,63.5,-7.784430158690148,-0.09458986098319806,-0.4494195095763743
1787876565.1988308,6.768003505989327,63.6,-7.773516747277354,-0.0999301125820877,-0.4650828738932928
1787876565.3370779,6.906249424995622,63.8,-7.762541709172022,-0.1055166292766143,-0.48077200361359207
1787876565.3522584,6.921429793990683,63.8,-7.75154719751152,-0.11133183881378754,-0.4964056777360068
1787876565.365175,6.934346762995119,63.8,-7.740531788258962,-0.1173802837544567,-0.5119761802806765
1787876565.5022287,7.071401271998184,63.9,-7.7274551726339675,-0.12483573305780542,-0.5276363201660799
1787876565.579052,7.148223671989399,63.9,-7.712695708542311,-0.13356642873180885,-0.5450918417397402
1787876565.7165368,7.285708563998924,64.1,-7.697766002977963,-0.14276922397686742,-0.564104319915589
1787876565.856764,7.425935875988216,64.2,-7.682855486614509,-0.1523586099208671,-0.5833018158616549
1787876565.9335434,7.5027146589854965,64.3,-7.668131719248797,-0.16223053992829387,-0.6021978817771579
1787876565.9460957,7.515266864997102,64.3,-7.653597402243794,-0.17237599265794631,-0.6206868902052181
1787876565.9571745,7.526346230995841,64.3,-7.639252724101027,-0.1827841550813382,-0.6385035149123462
1787876566.093661,7.6628329579980345,64.4,-7.625094470715606,-0.19344100643347625,-0.6555342555735741
1787876566.2306783,7.799849644987262,64.5,-7.611118485484323,-0.20433362965770804,-0.6719484449544697
1787876566.3072736,7.876445277986932,64.6,-7.597321293358623,-0.2154492822585241,-0.6875964999586904
1787876566.4435928,8.01276433399471,64.6,-7.5836972509370195,-0.2267732867472692,-0.7023471331231922
1787876566.5188198,8.087991848995443,64.7,-7.570239717155168,-0.23829140084091877,-0.7162500494177202
1787876566.5960786,8.165250204998301,64.8,-7.556942304377601,-0.24999107438265591,-0.7293971904116503
1787876566.608646,8.177817203992163,64.8,-7.543796269276469,-0.2618556187739052,-0.741044169599326
1787876566.682645,8.251817350988858,64.8,-7.53078379328682,-0.27386114982307624,-0.7511048163129717
1787876566.8227823,8.391953674989054,64.9,-7.517886293849073,-0.2859837669422061,-0.759084718693497
1787876566.960983,8.53015467998921,65.1,-7.505078597688833,-0.29819398140018255,-0.7647784057810038
1787876566.9756374,8.544808949998696,65.1,-7.492333730279454,-0.3104634820513551,-0.7685069291220243
1787876566.9872677,8.556439449996105,65.1,-7.479630545432599,-0.3227722319698777,-0.7710966747397886
1787876567.1247,8.693873247990268,65.2,-7.466955867022842,-0.3351068929957282,-0.7727059334430901
1787876567.2642713,8.833443096998963,65.3,-7.454298667125682,-0.34745686137803733,-0.7735872998275248
1787876567.4019616,8.971133348997682,65.4,-7.441649880081134,-0.3598125342718069,-0.7735949004625023
1787876567.5394485,9.108620715996949,65.5,-7.428998027714858,-0.3721620092464978,-0.7726513152173282
1787876567.6156247,9.184796375993756,65.6,-7.416331486817232,-0.38449372897897566,-0.7708815065923051
1787876567.6283727,9.197544750990346,65.6,-7.403640503487426,-0.3967981327337446,-0.7684325367961432
1787876567.639409,9.208580558988615,65.6,-7.390918141313645,-0.4090685525230749,-0.7655167821826064
1787876567.6492383,9.218409463996068,65.6,-7.378158842038093,-0.42129934629787535,-0.762222805980172
1787876567.7208004,9.289973217993975,65.7,-7.365357771453506,-0.4334849172809838,-0.7584578682157465
1787876567.861704,9.430876211990835,65.8,-7.352509169715519,-0.44561896472306967,-0.7542371415351397
1787876567.9992428,9.568414867986576,65.9,-7.339608047985595,-0.4576955341964496,-0.7495328376561394
1787876568.1379788,9.707150923990412,66.0,-7.32664908032204,-0.4697085198573735,-0.7443890305040427
1787876568.216018,9.785189602989703,66.1,-7.313627152439213,-0.48165184511180664,-0.7388587891482644
1787876568.3534555,9.922627234991523,66.2,-7.3005385222791395,-0.4935208323356681,-0.733004051829447
1787876568.4908998,10.060071726999013,66.3,-7.287379379613499,-0.5053101021003363,-0.7267010228430331
1787876568.6289322,10.198103829985484,66.4,-7.274145188045483,-0.5170135754344697,-0.72002681705116
1787876568.7051008,10.274272980997921,66.5,-7.260831840204624,-0.5286256570737646,-0.7129047331597493
1787876568.7181377,10.287309479987016,66.5,-7.247434592607749,-0.5401389073752908,-0.7052052121404655
1787876568.7293134,10.298484922997886,66.5,-7.233947214951012,-0.5515439358597211,-0.6968302390278748
1787876568.7395065,10.308678153989604,66.5,-7.220363553978179,-0.5628318853400327,-0.6878650119560508
1787876568.7488422,10.318013372991118,66.5,-7.206677488166396,-0.5739921589492211,-0.6780483403918096
1787876568.7564762,10.325647609992302,66.5,-7.192880145987535,-0.5850105823197133,-0.6672102080430128
1787876568.894055,10.463227152999025,66.6,-7.17896223601602,-0.5958729889278038,-0.6555701743142764
1787876569.0311792,10.600351971996133,66.7,-7.164916904670685,-0.6065662594992731,-0.6429620528448511
1787876569.1076045,10.676776604988845,66.8,-7.1507356846991454,-0.6170748852560096,-0.6294268838416751
1787876569.2457383,10.81490978099464,66.9,-7.136412533028819,-0.6273865059389113,-0.6152372406846912
1787876569.383083,10.95225607798784,67.0,-7.121943111809261,-0.6374886322513834,-0.60025015440521
1787876569.459845,11.029017185996054,67.1,-7.107322503520916,-0.6473666664451684,-0.5843400705409465
1787876569.5983388,11.167510777988355,67.2,-7.092545581157232,-0.6570047300730513,-0.5675676186708102
1787876569.6127136,11.181884842997533,67.2,-7.077608748036742,-0.6663893515487942,-0.5502688019517923
1787876569.6245718,11.193743048992474,67.2,-7.062511923422504,-0.6755112437492082,-0.532591120304528
1787876569.7615454,11.33071757099242,67.3,-7.047256857295779,-0.6843638837559683,-0.5148092253110281
1787876569.900595,11.46976656599145,67.4,-7.031847806281872,-0.6929442158059465,-0.4970691702704319
1787876570.0384316,11.607603511991329,67.5,-7.016289714800077,-0.7012504426654258,-0.47945275512176555
1787876570.1761367,11.745308132987702,67.6,-7.000588747157005,-0.7092832793350409,-0.4621349330684138
1787876570.1906376,11.759808819988393,67.7,-6.9847518884041735,-0.7170464380529898,-0.44530929264113756
