sim_stamp_s,wall_monotonic_s,linear_x_mps,linear_y_mps,angular_z_rps
1787886359.796577215,76890.086169742,0.029292140,0.000000000,0.028364711
1787886359.896160364,76890.185762593,0.069524989,0.000000000,0.059766218
1787886359.996114969,76890.285716626,0.113024227,0.000000000,0.085047796
1787886360.096353054,76890.385951763,0.148666129,0.000000000,0.100585707
1787886360.196194410,76890.485788230,0.175195619,0.000000000,0.109727614
1787886360.296082497,76890.585683009,0.194512755,0.000000000,0.118812457
1787886360.396209002,76890.685797292,0.209069744,0.000000000,0.131527364
1787886360.496050119,76890.785632414,0.220265210,0.000000000,0.130954474
1787886360.596300364,76890.885894499,0.228685305,0.000000000,0.130322352
1787886360.696134090,76890.985716505,0.234840840,0.000000000,0.129907519
1787886360.796211481,76891.085831566,0.239875108,0.000000000,0.130786195
1787886360.896204710,76891.185798511,0.244282171,0.000000000,0.131509572
1787886360.996101141,76891.285689575,0.248052135,0.000000000,0.131721780
1787886361.096249819,76891.385837778,0.251282513,0.000000000,0.149276733
1787886361.196133614,76891.485723488,0.255315512,0.000000000,0.165569365
1787886361.296085358,76891.585679683,0.259476095,0.000000000,0.163831159
1787886361.396197557,76891.685788617,0.260000000,0.000000000,0.174275503
1787886361.496307611,76891.785909436,0.260000000,0.000000000,0.167881757
1787886361.596416235,76891.886012633,0.260000000,0.000000000,0.177530080
1787886361.696148396,76891.985729536,0.260000000,0.000000000,0.185675368
1787886361.796237230,76892.085837308,0.260000000,0.000000000,0.177803501
1787886361.896496296,76892.186079108,0.255009711,0.000000000,0.139974624
1787886361.996194363,76892.285781059,0.241395891,0.000000000,0.096982598
1787886362.096043587,76892.385630967,0.219035819,0.000000000,0.048515074
1787886362.196233988,76892.485825893,0.199867070,0.000000000,0.004908194
1787886362.296278238,76892.585879291,0.183348224,0.000000000,-0.031117043
1787886362.396133900,76892.685726254,0.170788288,0.000000000,-0.058970511
1787886362.496218204,76892.785800595,0.160892501,0.000000000,-0.080898210
1787886362.596284628,76892.885882589,0.153218925,0.000000000,-0.098892204
1787886362.696246386,76892.985842018,0.146995187,0.000000000,-0.114392556
1787886362.796266079,76893.085875138,0.142038256,0.000000000,-0.128099158
1787886362.896325111,76893.185924240,0.138047576,0.000000000,-0.140377626
1787886362.996423483,76893.286028848,0.134948850,0.000000000,-0.151413113
1787886363.096267223,76893.385854986,0.133752644,0.000000000,-0.160896003
1787886363.196268559,76893.485866662,0.133162543,0.000000000,-0.169525802
1787886363.296308041,76893.585889554,0.135006309,0.000000000,-0.176907808
1787886363.396366835,76893.685948782,0.136940956,0.000000000,-0.184237018
1787886363.496279001,76893.785864649,0.139902070,0.000000000,-0.191275194
1787886363.596244574,76893.885846323,0.142489374,0.000000000,-0.198952615
1787886363.696179867,76893.985764790,0.144700572,0.000000000,-0.207221687
1787886363.796395302,76894.085994125,0.147506148,0.000000000,-0.215251535
1787886363.896459579,76894.186054218,0.150023535,0.000000000,-0.223734349
1787886363.996345520,76894.285938534,0.153554320,0.000000000,-0.231817126
1787886364.096114159,76894.385693635,0.156598732,0.000000000,-0.240795434
1787886364.196212769,76894.485797734,0.158901632,0.000000000,-0.249996379
1787886364.296291590,76894.585867264,0.160195589,0.000000000,-0.259962648
1787886364.396297932,76894.685883989,0.160656542,0.000000000,-0.270387828
1787886364.496146202,76894.785718822,0.159789950,0.000000000,-0.279834479
1787886364.596175671,76894.885751998,0.158955365,0.000000000,-0.288256317
1787886364.696267366,76894.985853409,0.158808693,0.000000000,-0.251674443
