sim_stamp_s,wall_monotonic_s,linear_x_mps,linear_y_mps,angular_z_rps
1787884868.564599514,75398.854199778,0.032532346,0.000000000,0.010142756
1787884868.664173841,75398.953775068,0.069215447,0.000000000,0.026488226
1787884868.764217377,75399.053809904,0.107039265,0.000000000,0.040705267
1787884868.864449739,75399.154058380,0.138021886,0.000000000,0.049530823
1787884868.964341879,75399.253932785,0.138021886,0.000000000,0.049530823
1787884869.064137459,75399.353718516,0.180071473,0.000000000,0.054357372
1787884869.163964272,75399.453542417,0.193601191,0.000000000,0.057709180
1787884869.264221191,75399.553801292,0.203880191,0.000000000,0.063832209
1787884869.364106417,75399.653680928,0.212057739,0.000000000,0.071860507
1787884869.464023590,75399.753628614,0.218672112,0.000000000,0.080491573
1787884869.564276695,75399.853878058,0.223786607,0.000000000,0.088898733
1787884869.664190769,75399.953775630,0.227895290,0.000000000,0.096398741
1787884869.764291286,75400.053898693,0.231173903,0.000000000,0.102836914
1787884869.864289999,75400.153883044,0.233428821,0.000000000,0.108384281
1787884869.964327574,75400.253925035,0.235216394,0.000000000,0.112730227
1787884870.064241409,75400.353832927,0.236648887,0.000000000,0.115818456
1787884870.164114952,75400.453710252,0.237604126,0.000000000,0.117723145
1787884870.264228821,75400.553830830,0.238379940,0.000000000,0.118304856
1787884870.364223480,75400.653903017,0.238985777,0.000000000,0.117690198
1787884870.464153528,75400.753754853,0.238985777,0.000000000,0.117690198
1787884870.564122438,75400.853721420,0.241599977,0.000000000,0.129922062
1787884870.664136171,75400.953715489,0.234140992,0.000000000,0.102060981
1787884870.764110804,75401.053697001,0.224836379,0.000000000,0.068440072
1787884870.864239454,75401.153815848,0.215088174,0.000000000,0.036901210
1787884870.964011431,75401.253585359,0.201481804,0.000000000,0.004033976
1787884871.064135790,75401.353708695,0.189266041,0.000000000,-0.025937378
1787884871.164173603,75401.453760983,0.179938748,0.000000000,-0.052802820
1787884871.264071703,75401.553665290,0.173190415,0.000000000,-0.076693118
1787884871.364421129,75401.654012656,0.173973039,0.000000000,-0.091364786
1787884871.464147568,75401.753730985,0.169560969,0.000000000,-0.107863136
1787884871.564088106,75401.853673201,0.166066334,0.000000000,-0.122247241
1787884871.664229155,75401.953825497,0.162638023,0.000000000,-0.136381492
1787884871.764334440,75402.053911352,0.160416290,0.000000000,-0.149907082
1787884871.864194870,75402.153772108,0.158845708,0.000000000,-0.163161963
1787884871.964193106,75402.253789004,0.158818305,0.000000000,-0.175199747
1787884872.064122438,75402.353702015,0.159124136,0.000000000,-0.186879277
1787884872.164055824,75402.453646493,0.159647360,0.000000000,-0.198254704
1787884872.264182806,75402.553771468,0.161205873,0.000000000,-0.208658785
1787884872.364235878,75402.653819875,0.162838116,0.000000000,-0.219055727
1787884872.464267492,75402.753869652,0.164414227,0.000000000,-0.229471102
1787884872.564238548,75402.853833953,0.166870177,0.000000000,-0.238868937
1787884872.664034128,75402.953617550,0.168974146,0.000000000,-0.248710975
1787884872.764246464,75403.053818249,0.168974146,0.000000000,-0.248710975
1787884872.864295006,75403.153883638,0.171911642,0.000000000,-0.267638952
1787884872.964227438,75403.253830462,0.172449350,0.000000000,-0.277882218
1787884873.064275265,75403.353888385,0.177895904,0.000000000,-0.279127628
1787884873.164201260,75403.453804440,0.177460998,0.000000000,-0.283333719
1787884873.264230251,75403.553836205,0.175580814,0.000000000,-0.286477476
1787884873.364205599,75403.653816591,0.172749117,0.000000000,-0.291534483
1787884873.464381218,75403.753984319,0.170522079,0.000000000,-0.295758158
1787884873.564097881,75403.853681734,0.168588951,0.000000000,-0.301038980
1787884873.664132595,75403.953718645,0.166679740,0.000000000,-0.306935996
1787884873.764498711,75404.054083962,0.164992094,0.000000000,-0.312774688
1787884873.864362478,75404.153959020,0.163678423,0.000000000,-0.317989945
1787884873.964121819,75404.253702024,0.162157103,0.000000000,-0.321791351
1787884874.064082384,75404.353663096,0.160624072,0.000000000,-0.324848890
