sim_stamp_s,wall_monotonic_s,linear_x_mps,linear_y_mps,angular_z_rps
1787866348.553112984,56878.842695422,0.032016601,0.000000000,0.006735940
1787866348.652746439,56878.942332505,0.067481823,0.000000000,0.015990667
1787866348.752812147,56879.042400526,0.103598781,0.000000000,0.019982362
1787866348.852962971,56879.142536115,0.132882327,0.000000000,0.016787641
1787866348.952688456,56879.242258464,0.155505389,0.000000000,0.007108983
1787866349.052853107,56879.342444488,0.172154024,0.000000000,-0.004096559
1787866349.152956724,56879.442539312,0.184514627,0.000000000,-0.013397940
1787866349.252857685,56879.542443991,0.193705291,0.000000000,-0.019539203
1787866349.352991343,56879.642573585,0.200804248,0.000000000,-0.022946844
1787866349.453151464,56879.742752789,0.206360325,0.000000000,-0.024677161
1787866349.553036213,56879.842620089,0.210712239,0.000000000,-0.025639506
1787866349.653004885,56879.942588888,0.213964820,0.000000000,-0.026408482
1787866349.753022432,56880.042606056,0.216401562,0.000000000,-0.027162861
1787866349.853064299,56880.142676612,0.218134433,0.000000000,-0.028044343
1787866349.952918530,56880.242517179,0.215428025,0.000000000,-0.030524243
1787866350.053090572,56880.342701454,0.217551291,0.000000000,-0.035927441
1787866350.152858734,56880.442458209,0.219565332,0.000000000,-0.041782424
1787866350.252947807,56880.542547538,0.216925740,0.000000000,-0.050556131
1787866350.352864981,56880.642462885,0.217996642,0.000000000,-0.059270196
1787866350.452722073,56880.742306805,0.219046459,0.000000000,-0.067294009
1787866350.552752495,56880.842343889,0.215940908,0.000000000,-0.076877944
1787866350.652796507,56880.942379622,0.212733626,0.000000000,-0.089438081
1787866350.752874851,56881.042442639,0.214735359,0.000000000,-0.099721387
1787866350.852993250,56881.142568757,0.213324398,0.000000000,-0.112221196
1787866350.952917576,56881.242517681,0.211705819,0.000000000,-0.125801474
1787866351.052889824,56881.342490850,0.210691780,0.000000000,-0.139471948
1787866351.152969837,56881.442552395,0.210429892,0.000000000,-0.154126748
1787866351.252739906,56881.542311764,0.211060911,0.000000000,-0.168183893
1787866351.353241920,56881.642837573,0.211791947,0.000000000,-0.182131201
1787866351.453314066,56881.742912627,0.213257745,0.000000000,-0.194350436
1787866351.552929163,56881.842508698,0.214750320,0.000000000,-0.205894008
1787866351.652968407,56881.942556363,0.217015564,0.000000000,-0.215524241
1787866351.752806425,56882.042378778,0.219264582,0.000000000,-0.224762723
1787866351.852846146,56882.142412333,0.221453637,0.000000000,-0.233548865
1787866351.952852488,56882.242422143,0.224314839,0.000000000,-0.240926266
1787866352.052996159,56882.342576724,0.225700349,0.000000000,-0.249341235
1787866352.153206825,56882.442814502,0.227185056,0.000000000,-0.257413566
1787866352.253233671,56882.542830486,0.228293434,0.000000000,-0.264806509
1787866352.353105307,56882.642704332,0.229443133,0.000000000,-0.273016363
1787866352.452968359,56882.742572486,0.230228707,0.000000000,-0.279303849
1787866352.553070784,56882.842660944,0.230494201,0.000000000,-0.286246598
1787866352.652968407,56882.942574138,0.231031671,0.000000000,-0.292242944
1787866352.753071070,56883.042659092,0.232092932,0.000000000,-0.296527892
1787866352.853042603,56883.142644034,0.232685789,0.000000000,-0.299882770
1787866352.953083038,56883.242668373,0.232327446,0.000000000,-0.303301305
1787866353.052869320,56883.342459234,0.232332721,0.000000000,-0.305910856
1787866353.152940750,56883.442522961,0.232352987,0.000000000,-0.307932347
1787866353.252893209,56883.542469996,0.233334139,0.000000000,-0.308684140
1787866353.352847338,56883.642414004,0.234626338,0.000000000,-0.310725749
1787866353.453160048,56883.742750888,0.237438843,0.000000000,-0.310185313
1787866353.553181887,56883.842786652,0.241127595,0.000000000,-0.307744354
1787866353.653015614,56883.942601615,0.244667560,0.000000000,-0.305568814
1787866353.753008604,56884.042588148,0.248403743,0.000000000,-0.301494092
