wall_time,wall_elapsed_s,sim_time,x,y,yaw
1787917628.2943952,0.06908654898870736,63.2,-8.498098187147606,1.3393374211866218e-06,0.0017553795156422258
1787917630.6559076,2.4305982919904636,65.1,-8.486373034197957,2.8282063009812e-05,0.0031312191160384356
1787917630.7451897,2.519880359992385,65.2,-8.474267600719427,7.24584043641348e-05,0.00439420485789026
1787917630.7598429,2.534533248996013,65.2,-8.464071200536372,0.00011993002685917051,0.005034461416847052
1787917630.769637,2.5443273519922514,65.2,-8.452724719450217,0.0001776141686523337,0.00509843362432538
1787917630.9066517,2.681342156996834,65.3,-8.44092037427219,0.00023644349856379404,0.004726853634596203
1787917631.0434015,2.818092114990577,65.4,-8.4285682052521,0.0002908976100930597,0.0038403958752090406
1787917631.1806257,2.955316955994931,65.5,-8.415833960280127,0.00033477514726362094,0.002664592974302119
1787917631.2574651,3.0321561149903573,65.6,-8.402523989223653,0.0003618665520854682,0.0009543031311676301
1787917631.2699575,3.044647955990513,65.6,-8.38873273500805,0.00036519095952029643,-0.0010052042236839258
1787917631.3431785,3.1178692980029155,65.6,-8.374561578320453,0.0003392688779635982,-0.0032807085792591426
1787917631.4838266,3.2585184199997457,65.7,-8.36037555508055,0.00027985368729539724,-0.0057848616174366934
1787917631.6173599,3.3920506079884944,65.8,-8.34612429668733,0.00018287777807712426,-0.008553087710277612
1787917631.6883433,3.463033476000419,65.9,-8.331652833376904,4.268006330214594e-05,-0.01162282067331918
1787917631.6965246,3.4712145759986015,66.0,-8.31710753429214,-0.00014405141270893657,-0.01499421117451739
1787917631.7703216,3.5450125179922907,66.0,-8.302628224390276,-0.00038080224740077393,-0.018705809924495775
1787917631.8462965,3.6209877799992682,66.0,-8.288248918765715,-0.000670864600795575,-0.022779233835044318
1787917631.9848938,3.7595848659984767,66.1,-8.273680214605394,-0.001027141702204451,-0.027375402710389764
1787917632.1200106,3.894701612996869,66.3,-8.258996795362199,-0.0014560238409911366,-0.03236870872551421
1787917632.2598388,4.0345298379979795,66.4,-8.244115900568637,-0.001967299218785659,-0.037799389599948004
1787917632.398169,4.172860776001471,66.5,-8.229148058728057,-0.002564988689388925,-0.04361160532236693
1787917632.4125586,4.1872489509987645,66.5,-8.2141369837566,-0.0032532540754016412,-0.049657985513646676
1787917632.4247313,4.199421408993658,66.5,-8.199379108676181,-0.004020486713953743,-0.0559739477384837
1787917632.4354727,4.210163019990432,66.5,-8.184579936619208,-0.004885196212135118,-0.06258822569520237
1787917632.5111868,4.285877661997802,66.6,-8.169861275105506,-0.005844277182584058,-0.06944018533283867
1787917632.5859418,4.360632758995052,66.6,-8.155313124837187,-0.006894682736059299,-0.0767136868023551
1787917632.665069,4.439759504995891,66.7,-8.140876926050613,-0.008045343086354313,-0.08460255184839406
1787917632.8026142,4.57730502699269,66.8,-8.126507979541206,-0.00930848358637753,-0.09327782274238239
1787917632.9407406,4.715431652992265,66.9,-8.112148308649575,-0.01070073688819627,-0.10274572134234906
1787917633.0751724,4.849863195995567,67.0,-8.097801243366908,-0.012232618685944767,-0.11288204468266294
1787917633.2125568,4.987247974000638,67.1,-8.083450460845615,-0.013915826219384881,-0.12363133548669711
1787917633.3516424,5.1263333649985725,67.2,-8.069059848270133,-0.01576485672851168,-0.13536070654131452
1787917633.4291787,5.203869409990148,67.3,-8.054610410482228,-0.01779904282309404,-0.14802439723697491
