sim_stamp_s,wall_monotonic_s,linear_x_mps,linear_y_mps,angular_z_rps
1787919833.336219311,110363.625806052,0.033142548,0.000000000,0.010393948
1787919833.436112404,110363.725709022,0.070684433,0.000000000,0.026864177
1787919833.536055565,110363.825654117,0.109494172,0.000000000,0.040815696
1787919833.636251450,110363.925834306,0.141386285,0.000000000,0.048954651
1787919833.736165047,110364.025760948,0.166315004,0.000000000,0.051105883
1787919833.836075544,110364.125656173,0.184974775,0.000000000,0.051672500
1787919833.935946465,110364.225533838,0.199132413,0.000000000,0.054029986
1787919834.037962437,110364.327546903,0.209958345,0.000000000,0.059386082
1787919834.138188362,110364.427773211,0.218575150,0.000000000,0.066758595
1787919834.236246109,110364.525851786,0.225526601,0.000000000,0.074835435
1787919834.336307049,110364.625902581,0.231899828,0.000000000,0.099646270
1787919834.436035872,110364.725636949,0.238365114,0.000000000,0.104253590
1787919834.536093712,110364.825688972,0.243479714,0.000000000,0.107887462
1787919834.636255741,110364.925838769,0.246284217,0.000000000,0.108266965
1787919834.736119270,110365.025720704,0.247986957,0.000000000,0.110359766
1787919834.836161613,110365.125771962,0.249212399,0.000000000,0.112429060
1787919834.936070681,110365.225657493,0.250312835,0.000000000,0.113442682
1787919835.036275625,110365.325861668,0.251325101,0.000000000,0.112902626
1787919835.136294603,110365.425892893,0.252325833,0.000000000,0.111020550
1787919835.236224413,110365.525808173,0.253200114,0.000000000,0.108272187
1787919835.335943460,110365.625518347,0.253905267,0.000000000,0.105141409
1787919835.436263323,110365.725845556,0.254652649,0.000000000,0.101763979
1787919835.536073685,110365.825659210,0.255196661,0.000000000,0.098608471
1787919835.636111021,110365.925710712,0.255859405,0.000000000,0.095477059
1787919835.736048460,110366.025634695,0.256342560,0.000000000,0.092746973
1787919835.836060047,110366.125662101,0.256688237,0.000000000,0.090429626
1787919835.936059237,110366.225652380,0.255936772,0.000000000,0.106513642
1787919836.036124229,110366.325732838,0.257817060,0.000000000,0.104132026
1787919836.136207819,110366.425816854,0.258311689,0.000000000,0.119106315
1787919836.236124754,110366.525709635,0.260000000,0.000000000,0.113800399
1787919836.336158037,110366.625742077,0.260000000,0.000000000,0.127517015
1787919836.435795307,110366.725360982,0.260000000,0.000000000,0.120935827
1787919836.536107063,110366.825705084,0.260000000,0.000000000,0.113902718
1787919836.636071205,110366.925656008,0.260000000,0.000000000,0.104384765
1787919836.735989809,110367.025587635,0.260000000,0.000000000,0.097241379
1787919836.835911751,110367.125481566,0.260000000,0.000000000,0.090576410
1787919836.936091185,110367.225692472,0.257407248,0.000000000,0.085098259
1787919837.036257982,110367.325843402,0.255113989,0.000000000,0.080652393
