segment,segment_name,wall_time,wall_elapsed_s,sim_time,x,y,yaw
1,M->N,1787489077.0398407,0.07201864698436111,35.3,-8.498913868275082,3.727018713940825e-07,0.00096391547463879
1,M->N,1787489079.1298382,2.1620150670059957,36.9,-8.485275129805657,2.8741196619467372e-05,0.004949559141994402
1,M->N,1787489079.2067447,2.2389209939865395,37.0,-8.472153325016379,0.0001191976270398966,0.010028686683215894
1,M->N,1787489079.2815573,2.3137345840223134,37.0,-8.454658929151103,0.00033202458504805177,0.01565190398922539
1,M->N,1787489079.423175,2.455351477023214,37.1,-8.43564204949782,0.0006759907788047633,0.022481576284332325
1,M->N,1787489079.5603645,2.5925412570359185,37.2,-8.416631844726343,0.0011588619835449098,0.03046354814675825
1,M->N,1787489079.6981583,2.7303349130088463,37.4,-8.397631352166105,0.0018018823917257147,0.039696967054660436
1,M->N,1787489079.7109766,2.743152808980085,37.4,-8.378643112546662,0.002628837931468356,0.05015604717338072
1,M->N,1787489079.7220826,2.754258850996848,37.4,-8.359669348857508,0.00366290861623262,0.06180577016697472
1,M->N,1787489079.7955391,2.8277161630103365,37.4,-8.340714334905886,0.004928573993171482,0.07503343117037482
1,M->N,1787489079.8093421,2.841518550994806,37.5,-8.321782604566854,0.006454689918575974,0.08950304170285417
1,M->N,1787489079.9465945,2.9787717669969425,37.5,-8.30287821296424,0.008260777553971588,0.10484710728106957
1,M->N,1787489080.084668,3.1168455150327645,37.7,-8.284007369490961,0.010363842979710523,0.12108020307106603
1,M->N,1787489080.1001813,3.132357338035945,37.7,-8.265176669251192,0.012778751125198226,0.1381474840587828
1,M->N,1787489080.2385569,3.27073400298832,37.8,-8.246393342816344,0.015521026210925486,0.15601300202744303
1,M->N,1787489080.378176,3.4103529719868675,37.9,-8.227664019496583,0.01860271512594335,0.1743964528582645
1,M->N,1787489080.516045,3.5482218600227498,38.0,-8.208995827280887,0.022031527819982907,0.19316889330358597
1,M->N,1787489080.592621,3.6247974860016257,38.1,-8.190396441846753,0.025813249548858486,0.2122416559815101
1,M->N,1787489080.6057193,3.6378959370194934,38.1,-8.171873917777496,0.029952256090882708,0.23166866254032992
1,M->N,1787489080.6790864,3.711263128032442,38.1,-8.153436159389829,0.03445277799919277,0.2513515938835796
1,M->N,1787489080.6932898,3.7254659539903514,38.2,-8.135090635742316,0.03931679454436646,0.27117136461018837
1,M->N,1787489080.8310921,3.863269334018696,38.3,-8.11684491690866,0.044545294305247944,0.2910733525105298
1,M->N,1787489080.9686053,4.00078244402539,38.4,-8.098706500815458,0.050137573341979096,0.31099457024243116
1,M->N,1787489081.107373,4.139550129999407,38.5,-8.080681870294297,0.05609053642627432,0.3308625033943822
1,M->N,1787489081.183989,4.216165527992416,38.6,-8.062777665243171,0.06240077494232193,0.3506360867383502
1,M->N,1787489081.1965818,4.2287583270226605,38.6,-8.044999754589204,0.06906328382821231,0.3702000420160595
1,M->N,1787489081.2094865,4.241662456013728,38.6,-8.027354347593445,0.07607220302858464,0.3895564948087676
1,M->N,1787489081.3469658,4.379142934980337,38.7,-8.009846320926625,0.08342089676890195,0.4087114395190894
1,M->N,1787489081.4259162,4.45809317700332,38.7,-7.992480051579951,0.09110239352391909,0.42760297019647314
1,M->N,1787489081.5633981,4.5955747900297865,38.8,-7.97526030020708,0.09911005301572816,0.44624815001927637
1,M->N,1787489081.699703,4.731879309983924,38.9,-7.958190231257363,0.10743587434079337,0.46449331950745265
1,M->N,1787489081.8361294,4.868306858988944,39.0,-7.941272178341637,0.11607012120337795,0.48232127680685205
1,M->N,1787489081.9747212,5.006897988030687,39.2,-7.924507232343727,0.12500226847537235,0.4996049954681856
1,M->N,1787489082.0509658,5.08314231003169,39.3,-7.907895817380661,0.13422070700661357,0.5164799093676476
1,M->N,1787489082.0640824,5.096258422010578,39.3,-7.89143919253838,0.14371661265838367,0.5329585773463095
1,M->N,1787489082.0750751,5.107251115026884,39.3,-7.875137370091921,0.15347997338005076,0.5489392341561908
1,M->N,1787489082.0845683,5.1167444580351,39.3,-7.858990438117788,0.16350096701814656,0.564425565184685
1,M->N,1787489082.1553965,5.187572595023084,39.3,-7.842996511716869,0.17376777395429877,0.5792935596760843
1,M->N,1787489082.2920082,5.324184614000842,39.4,-7.827153696518268,0.1842687963048708,0.5937513584372565
1,M->N,1787489082.4315305,5.463706916023511,39.5,-7.811460866806996,0.1949951018868768,0.607678617087897
1,M->N,1787489082.507712,5.539888493018225,39.6,-7.795915369881466,0.20593638243836015,0.6210209908436796
1,M->N,1787489082.6440597,5.676236336992588,39.7,-7.780513566439602,0.21708156175332669,0.6338365988020572
1,M->N,1787489082.7825289,5.814705351018347,39.8,-7.765251862403621,0.2284203802521159,0.6461014961272271
1,M->N,1787489082.8573635,5.889539875031915,39.9,-7.7501261556895535,0.23994292310955748,0.6577457278001695
1,M->N,1787489082.8698382,5.90201469900785,39.9,-7.73513144690747,0.25163802922395234,0.6688332894324943
1,M->N,1787489082.883714,5.915890539996326,39.9,-7.7202644092198875,0.26349699943763616,0.6794716782199992
1,M->N,1787489083.0189831,6.0511595390271395,40.0,-7.705520196927364,0.2755106918633608,0.6895073989591802
1,M->N,1787489083.093948,6.126123776019085,40.1,-7.690893484632182,0.28766907647454126,0.6990716220564135
1,M->N,1787489083.1053598,6.137535825022496,40.1,-7.676380331791062,0.29996468455233566,0.7081444960404675
1,M->N,1787489083.2414734,6.2736504030181095,40.2,-7.661975446587906,0.31238896482243445,0.716653204941857
1,M->N,1787489083.3802738,6.412450901989359,40.3,-7.647673771010019,0.3249335003674856,0.7247080345379048
1,M->N,1787489083.516821,6.548997779027559,40.4,-7.633470028336116,0.33759054398091987,0.7322719369260854
1,M->N,1787489083.653794,6.685970700986218,40.5,-7.619359962850646,0.35035312326974477,0.7395237572569016
1,M->N,1787489083.7292142,6.761390767991543,40.6,-7.605339703910684,0.3632159409284011,0.7463293201009529
1,M->N,1787489083.7512095,6.783385713992175,40.6,-7.591404399692811,0.3761722153300534,0.7527309731579932
1,M->N,1787489083.7631423,6.7953186350059696,40.6,-7.577549342852124,0.3892156441381952,0.7587164437916055
1,M->N,1787489083.835186,6.867362704011612,40.6,-7.5637699693692015,0.40234005280354695,0.7643201185021471
1,M->N,1787489083.97353,7.005707492993679,40.7,-7.550061405873768,0.4155396532021673,0.769500664958089
1,M->N,1787489083.991498,7.023674227006268,40.8,-7.536418214884089,0.42880817867566573,0.77424328396152
1,M->N,1787489084.0652032,7.097380031016655,40.8,-7.522836352061858,0.44214025315362254,0.7787200843771
1,M->N,1787489084.2031446,7.235321337997448,40.9,-7.509311615754216,0.4555314568569409,0.7828023441521473
1,M->N,1787489084.3382838,7.370460621023085,41.0,-7.495838814313963,0.4689763384861739,0.786571268193102
1,M->N,1787489084.4796684,7.51184520102106,41.2,-7.482414796582255,0.4824710944856803,0.7900764040663102
1,M->N,1787489084.493532,7.525708411994856,41.2,-7.469036305916531,0.49601196788949364,0.7933111691557684
1,M->N,1787489084.5055647,7.53774068702478,41.2,-7.455699717279439,0.5095949596481317,0.796257048813841
1,M->N,1787489084.5790145,7.61119161703391,41.2,-7.442401244902447,0.5232159037914209,0.79893851963454
1,M->N,1787489084.7181163,7.750293135002721,41.3,-7.429137315324449,0.5368711741188428,0.8013465101716257
1,M->N,1787489084.8563964,7.888573525997344,41.5,-7.415904430143008,0.5505572507124484,0.8034953151855612
1,M->N,1787489084.9948146,8.026991467981134,41.6,-7.402699769766976,0.5642709675710407,0.80540010023279
1,M->N,1787489085.1327028,8.16487940098159,41.7,-7.38951965281123,0.5780089028680074,0.8070940002912058
1,M->N,1787489085.2697537,8.301930468005594,41.8,-7.37636090769223,0.5917679488921005,0.8085777891089049
1,M->N,1787489085.3487604,8.380936841014773,41.9,-7.3636509942515005,0.6050960256545401,0.8100930111446757
1,M->N,1787489085.362726,8.394902008003555,41.9,-7.3537856203453895,0.6154902065305833,0.8141790085173386
1,M->N,1787489085.3779356,8.410111876029987,41.9,-7.345012303109672,0.6248400674127035,0.822872722733
1,M->N,1787489088.3863547,11.418531892006285,44.3,-7.333909805280226,0.6245107974049078,-0.5747113902783407
1,M->N,1787489088.6003327,11.632508950016927,44.5,-7.322909209305272,0.6169085331733598,-0.6345319292392271
1,M->N,1787489088.6145942,11.64677000202937,44.5,-7.314307668795303,0.6103803668496688,-0.6705050292538721
1,M->N,1787489088.8201182,11.852295869030058,44.6,-7.305850703286798,0.6034717865159234,-0.7056669333069412
1,M->N,1787489088.9046574,11.93683374999091,44.8,-7.297535664121612,0.5961822947905884,-0.7396103751180424
1,M->N,1787489089.110407,12.142583952983841,44.9,-7.289377586940857,0.5885312069716037,-0.7722352912766695
1,M->N,1787489089.3167477,12.348923996032681,45.0,-7.281365188381948,0.580517712207851,-0.8035370909291571
1,M->N,1787489089.461437,12.493613169994205,45.2,-7.273522305060981,0.5721732517177975,-0.8335583528289948
1,M->N,1787489089.480044,12.512220119009726,45.2,-7.26584840570928,0.5635092167955082,-0.8623721518238321
