segment,segment_name,wall_time,wall_elapsed_s,sim_time,x,y,yaw
1,M->N,1788163690.7015464,0.06797886802814901,33.0,-4.0,-1.2797200000004039,0.0
1,M->N,1788163690.8452542,0.2116864950512536,33.1,-4.0,-1.2674800000003992,0.0
1,M->N,1788163690.8608532,0.22728514805203304,33.2,-4.0,-1.2552400000003945,0.0
1,M->N,1788163691.0003674,0.3668003570055589,33.3,-4.0,-1.2430000000003898,0.0
1,M->N,1788163691.138213,0.5046447470085695,33.4,-4.0,-1.230760000000385,0.0
1,M->N,1788163691.2768865,0.6433190639945678,33.5,-4.0,-1.2185200000003804,0.0
1,M->N,1788163691.4139864,0.7804185040295124,33.6,-4.0,-1.2062800000003757,0.0
1,M->N,1788163691.5602276,0.9266599360271357,33.7,-4.0,-1.194040000000371,0.0
1,M->N,1788163691.701713,1.0681450480478816,33.8,-4.0,-1.1818000000003663,0.0
1,M->N,1788163691.8419337,1.208366338047199,33.9,-4.0,-1.1695600000003616,0.0
1,M->N,1788163691.9894528,1.3558854270377196,34.0,-4.0,-1.157320000000357,0.0
1,M->N,1788163692.1300762,1.4965084120049141,34.1,-4.0,-1.1450800000003523,0.0
1,M->N,1788163692.206195,1.5726267470163293,34.2,-4.0,-1.1328400000003476,0.0
1,M->N,1788163692.2182822,1.5847141220001504,34.2,-4.0,-1.1206000000003429,0.0
1,M->N,1788163692.2290585,1.5954901810036972,34.2,-4.0,-1.1083600000003382,0.0
1,M->N,1788163692.2399654,1.6063969310489483,34.2,-4.0,-1.0961200000003335,0.0
1,M->N,1788163692.248971,1.6154023160343058,34.2,-4.0,-1.0838800000003288,0.0
1,M->N,1788163692.2568812,1.62331246904796,34.2,-4.0,-1.0716400000003241,0.0
1,M->N,1788163692.2645116,1.6309428350068629,34.2,-4.0,-1.0594000000003194,0.0
1,M->N,1788163692.3392239,1.7056552810245194,34.3,-4.0,-1.0471600000003147,0.0
1,M->N,1788163692.414228,1.780659889045637,34.3,-4.0,-1.03492000000031,0.0
1,M->N,1788163692.5519428,1.9183755080448464,34.4,-4.0,-1.0226800000003053,0.0
1,M->N,1788163692.690195,2.0566275760065764,34.5,-4.0,-1.0104400000003007,0.0
1,M->N,1788163692.7669144,2.13334667601157,34.6,-4.0,-0.9982000000002971,0.0
1,M->N,1788163692.9031515,2.2695837570354342,34.7,-4.0,-0.9859600000002999,0.0
1,M->N,1788163692.985595,2.3520265170373023,34.8,-4.0,-0.9964000000002975,0.0
1,M->N,1788163693.1240418,2.4904737710021436,34.8,-4.0,-1.0086400000003,0.0
1,M->N,1788163693.2624505,2.6288828260148875,34.9,-4.0,-1.0208800000003047,0.0
1,M->N,1788163693.4003937,2.7668258610065095,35.1,-4.0,-1.0331200000003093,0.0
1,M->N,1788163693.414391,2.7808226330089383,35.1,-4.0,-1.045360000000314,0.0
1,M->N,1788163693.488847,2.855279630050063,35.1,-4.0,-1.0576000000003187,0.0
1,M->N,1788163693.5653827,2.9318143620039336,35.2,-4.0,-1.0698400000003234,0.0
1,M->N,1788163693.7029982,3.069430595031008,35.3,-4.0,-1.0820800000003281,0.0
1,M->N,1788163693.7800474,3.146479547023773,35.4,-4.0,-1.0943200000003328,0.0
1,M->N,1788163693.7940688,3.160500439000316,35.4,-4.0,-1.1065600000003375,0.0
1,M->N,1788163693.9305692,3.2970016510225832,35.4,-4.0,-1.1188000000003422,0.0
1,M->N,1788163694.0677855,3.4342178190127015,35.5,-4.0,-1.1310400000003469,0.0
1,M->N,1788163694.2079778,3.5744100250303745,35.6,-4.0,-1.1432800000003516,0.0
